试题类型	知识范畴	题干	试题难度	正确答案	答案			
多选题	银行卡差错处理	差错平台无交易流水的特殊账务处理适用于____。	难	123	柜员办理取款交易已付款，总行未清算	ATM已吐钞，总行未清算	消费成功，总行未清算	信用卡还款有误或还款不成功
多选题	银行卡差错处理	银行卡差错争议业务差错处理中查询业务适用于____。	难	1234	收单行对原始交易有疑问	需要告知发卡行有关错账事实	根据持卡人要求向发卡行查询	根据有权机关要求向发卡行查询
多选题	银行卡差错处理	银行卡差错争议业务跨行交易中，收单行发现____，可使用请款交易索款。	难	1234	信用卡消费交易短款	取现交易短款	贷记调整失误短款	跨行转账交易转入行贷记调整失误短款
多选题	银行卡差错处理	收单行（或发卡行）在差错平台发起请款或托收业务时，须同时提交以下凭证：____。	难	1234	请款（解除）报告、商户调账申请或客户委托收款申请	原始交易凭证或相关证明材料	特定差错情形提交：持卡人同意扣款承诺书	特定差错情形提交：商户调账申请/客户委托收款申请解除说明
多选题	银行卡差错处理	收单行（或发卡行）在差错平台发起请款或托收业务时，须提交请款报告，请款报告使用于因____及其他原因或渠道造成的银行或柜员短款。	中	1234	柜台交易	电子渠道	POS	ATM
判断题	贷记卡	信用卡个人卡发卡须设置营销、受理、录入、调查、审查、审批和制领卡环节。担保方式发卡的，还须设置押品评估、担保合同签订和抵质押登记环节。其中营销、调查、审查审批可以兼岗。	易	-1				
判断题	贷记卡	办理信用卡发卡业务时，与客户有亲属、朋友关系的可以办理调查、押品评估、审查、审批、抵质押登记。	易	-1				
判断题	贷记卡	金穗贷记卡的制卡由总行信用卡中心组织完成。金穗准贷记卡的制卡由一级分行信用卡中心完成。	易	1				
判断题	贷记卡	信用卡额度调整结果应通过短信、电话、账单或网页反馈等形式告知客户，临时额度调整的，还应提示临时额度到期日。	易	1				
判断题	贷记卡	信用卡发卡与额度调整业务实行尽职免责制度。对形成的风险，各环节工作人员非主观故意、不存在道德风险，并尽职履行了本规程规定的相应岗位职责的，可免予追究其相关责任。	中	1				
单选题	贷记卡	信用卡营销人应指导客户真实、完整、正确填写申请表及相关附件，并核查申请资料的完整性、规范性和一致性。规范性是指申请表项目填写正确、详细，笔迹辨清，客户抄录文字、签名、日期等客户声明栏信息由客户本人完成，且签名与日期未经修改，其他修改项目未超过____处。	中	3	1	2	3	5
单选题	贷记卡	信用卡____负责申请资料的完整性与规范性审查。	中	1	受理人	营销人	调查人	审查人
单选题	贷记卡	信用卡调查岗在网点的，必须由____担任调查人。	易	1	网点管理人员	柜员	大堂经理	客户经理
单选题	贷记卡	调查是指在信用卡发卡过程中，调查人按照一定的工作程序与方法，对客户办卡申请进行信息搜集、资料核实、分析论证，并给出调查建议与意见的行为。调查方式包括____。	易	4	内部调查	电话调查	实地调查	以上都是
单选题	贷记卡	以下对于信用卡调查环节电话调查说法错误的是____。	中	2	电话调查原则上为必要环节，不可缺失	需免除电话调查的，必须由二级分行信用卡中心负责人（含）以上级别人员书面同意	电话调查必须全程录音	电话调查内容主要包括客户办卡意愿、申请表内信息和申请表外信息，其中客户办卡意愿为必问信息
多选题	贷记卡	信用卡，从产品性质来分，包括____与____。	易	12	贷记卡	准贷记卡	个人卡	单位卡
多选题	贷记卡	信用卡，从发行对象来分，包括____与____。	易	34	贷记卡	准贷记卡	个人卡	单位卡
多选题	贷记卡	对已有我行贷记卡并要求申请新产品的客户，若客户信息无变化，申请表可仅填写____；若客户信息发生变化，申请表应当重新完整填写。	易	1234	新申请的卡种名称	姓名	证件类型与证件号码	完成抄录与签名等客户声明栏信息
多选题	贷记卡	信用卡调查中的内部调查方式是指就申请资料本身开展的逻辑检查，以及通过各类系统工具开展的信息查询、比对等，其中____是内部调查中的必要环节，不可缺失。	易	123	身份真实性确认	申请资料逻辑关系检查	资信调查	选择性调查
多选题	贷记卡	信用卡个人卡持卡人可通过____发起额度调整。	中	124	致电中国农业银行信用卡客户服务热线，并通过坐席代表申请	通过网上银行、掌上银行、微信等我行提供的电子设备和系统	通过个人客户经理	通过原发卡网点
判断题	贷记卡	准贷记卡通过发卡行辖内任一网点办理销卡，通过原销卡网点办理销户，确认账户没有未达账的，销卡后准确输入密码可立即销户。	中	1				
判断题	贷记卡	贷记卡账户内存款视为超额还款，超额还款不计付利息。贷记卡持卡人提取超额还款不需支付手续费。	易	-1				
单选题	贷记卡	我行信用卡按币种分为____。	易	4	单币种卡	双币种卡	多币种卡	以上都是
单选题	贷记卡	年满____，具有完全民事行为能力，且资信良好的个人可申领信用卡个人卡主卡。	易	3	14周岁	16周岁	18周岁	20周岁
单选题	贷记卡	信用卡个人卡主卡持卡人还可为年满____的个人申领附属卡，并有权要求注销或止付其附属卡，附属卡所有交易款项均计入主卡账户。	中	1	14周岁	16周岁	18周岁	20周岁
单选题	贷记卡	信用卡个人卡外币账户为____，单位卡外币账户为____。	易	2	现钞户、现钞户	现钞户、现汇户	现汇户、现汇户	现汇户、现钞户
单选题	贷记卡	以下对于信用卡电子现金账户说法错误的是____。	难	4	带电子现金的芯片卡同时开立电子现金账户	电子现金具有圈存、圈提及消费等功能	电子现金账户余额在开户时默认为0元	余额上限和单笔交易限额最高均为100元
单选题	贷记卡	信用卡持卡人在境内通过自助设备取现每日累计不得超过____。	难	2	1万元	2万元	5万元	10万元
单选题	准贷记卡	准贷记卡持卡人通过自助设备透支取现每日累计不得超过____。	难	3	1000元	2000元	5000元	1万元
单选题	贷记卡	贷记卡持卡人在境内透支取现不得超过____。	难	2	1000元	2000元	5000元	1万元
单选题	贷记卡	信用卡持卡人卡片遗失，已经办理挂失手续，可在无卡的情况下申请紧急取现，紧急取现的限额不得超过账户的取现限额，境内取现金额最高不得超过2000元人民币，境外取现金额最高为____（或等值外币），每卡只能办理一笔紧急取现。	难	4	100美元	200美元	500美元	800美元
单选题	贷记卡	以下对信用卡分期付款业务说法错误的是____。	难	3	消费分期指我行根据持卡人申请，对其已发生的消费交易提供分期偿还的业务	商户分期指持卡人在我行指定分期付款商户（含网上商户）以分期交易方式消费，并按期进行偿还的业务	账单分期是指我行根据持卡人申请，对已出或未出账单一定消费金额提供分期偿还的业务	现金分期指持卡人对转入指定账户中的预借现金款项进行分期偿还的业务
单选题	贷记卡	准贷记卡具有____等特色服务功能。	中	4	定期存单移入、移出	质押冻结	质押解冻	以上都是
单选题	贷记卡	贷记卡透支金额从银行记账日起计息，日利率为____，按月计收复利并从持卡人账户中扣收。透支利率如有变动，按中国人民银行的有关规定执行。	易	2	万分之一	万分之五	千分之一	千分之五
单选题	贷记卡	贷记卡透支金额从银行记账日起计息，日利率为万分之五，____并从持卡人账户中扣收。	难	3	按日计收复利	按日计收单利	按月计收复利	按月计收单利
单选题	贷记卡	贷记卡免息还款期最长为____，发卡行与申领单位／申领人另有约定的除外。	易	1	56天	30天	60天	90天
单选题	贷记卡	贷记卡持卡人未能按期偿还最低还款额的，还应就最低还款额的未偿还部分支付一定比例的____。	中	4	利息	复利	罚息	滞纳金
单选题	准贷记卡	准贷记卡最长透支期限为____。	易	3	56天	30天	60天	90天
单选题	贷记卡	准贷记卡最长透支期限为60天，持卡人需在首笔透支发生后的60天内归还银行借款和相应利息。透支利息从银行记账日起计算，日利率为____，按月计收单利并从持卡人账户中扣收。	易	2	万分之一	万分之五	千分之一	千分之五
单选题	贷记卡	准贷记卡透支利息从银行记账日起计算，日利率为万分之五，____并从持卡人账户中扣收。	难	4	按日计收复利	按日计收单利	按月计收复利	按月计收单利
单选题	贷记卡	信用卡透支余额资产形态按____分类进行管理，分类标准及划分、减值准备金计提等工作，按总行相关规章制度执行。	难	2	三级	五级	十级	十四级
多选题	贷记卡	我行信用卡按信用等级分为____。	易	1234	钻石卡	白金卡	金卡	普卡
多选题	贷记卡	单位信用卡申领单位须提供____，以及根据单位性质出具的登记证明材料。	中	1234	基本存款账户开户许可证	组织机构代码证	法定代表人或其委托代理人指定持卡人的书面委托书	法定代表人及指定持卡人的有效身份证件等资料
多选题	贷记卡	以下对于信用卡挂失业务说法正确的有____。	中	24	电子现金账户允许挂失	贷记卡一经挂失，不可撤销	准贷记卡一经挂失，不可撤销	持卡人卡片遗失、被盗或遭他人占有、伪冒时，可通过我行客服热线、网点柜台、网上银行、手机银行等渠道办理挂失，挂失手续办妥，立即生效。
多选题	贷记卡	以下对于贷记卡持卡人在境外通过网点柜台或自助设备取现限额说法正确的是____。	难	134	每日累计不得超过等值1000美元	每日累计不得超过等值2000美元	每月累计不得超过等值5000美元	六个月内累计不得超过等值1万美元
判断题	贷记卡	金穗IC贷记卡交易须优先刷磁进行交易处理。	易	-1				
单选题	贷记卡	金穗IC贷记卡卡片有效期为____。	易	3	5年	6年	8年	10年
单选题	贷记卡	带电子现金的IC贷记卡在补卡时，补发的新卡片电子现金账户余额为____元。	难	1	0	1	5	10
多选题	贷记卡	金穗IC贷记卡按通讯方式不同分为____。	难	124	接触式IC卡	非接触式IC卡	单界面IC卡	双界面IC卡
判断题	贷记卡	贷记卡是指发卡银行给予持卡人一定的信用额度，持卡人可在信用额度内先消费、后还款的信用卡。	易	1				
判断题	贷记卡	发卡银行对准贷记卡及借记卡（不含储值卡）账户内的存款，按照中国人民银行规定的同期同档次存款利率及计息办法计付利息。发卡银行对贷记卡账户的存款、储值卡（含IC卡的电子钱包）内的币值不计付利息。	易	1				
判断题	贷记卡	贷记卡透支按月记收复利，准贷记卡透支按月计收单利，透支利率为日利率万分之五，并根据中国人民银行的此项利率调整而调整。	中	1				
判断题	贷记卡	单位人民币卡账户的资金一律从其基本存款账户转账存入，不得存取现金，可以将销货收入存入单位卡账户。 	中	-1				
单选题	贷记卡	贷记卡持卡人选择最低还款额方式或超过发卡银行批准的信用额度用卡时，不再享受免息还款期待遇，应当支付____，按规定利率计算的透支利息。	中	1	未偿还部分自银行记账日起	未偿还部分及已偿还部分自银行记账日起	未偿还部分自还款日起	未偿还部分及已偿还部分自还款日起
单选题	贷记卡	发卡银行对贷记卡持卡人未偿还最低还款额的行为，按最低还款额未还部分的____收取滞纳金。 	难	3	1%	3%	5%	8%
单选题	贷记卡	银行卡持卡人出租或转借其信用卡及其账户的，发卡银行应当责令其改正，并对其处以____元人民币以内的罚款（由发卡银行在申请表、领用合约等契约性文件中事先约定）。 	中	2	500	1000	2000	5000
单选题	贷记卡	持卡人将单位的现金存入单位卡账户或将单位的款项存入个人卡账户的，中国人民银行应责令改正，并对单位卡所属单位及个人卡持卡人处以____元人民币以内的罚款。 	中	2	500	1000	2000	5000
单选题	准贷记卡	准贷记卡查询业务可查询准贷记卡____个月以内的交易明细。	难	2	3	6	9	12
单选题	准贷记卡	下列可以作为准贷记卡子账户移入的存单的有____，原存单账户为不通兑标志的不能做移入交易。	中	1	人民币整存整取定期	人民币零存整取定期	外币整存整取定期	外币零存整取定期
单选题	准贷记卡	准贷记卡子账户金额低于____元的不允许做质押冻结业务。质押授信额度须为100元的整数倍。	中	2	3000	5000	8000	10000
单选题	准贷记卡	准贷记卡质押子账户处置时，子账户余额____透支本息，则按透支本息金额部提并转入主账户；子账户金额____透支本息，则子账户销户，本息转入主账户。	中	2	小于、大于	大于、小于	等于、大于	大于、等于
单选题	贷记卡	贷记卡跨中心双方抹账业务的办理人为____。	中	4	开卡行、原经办人	任一网点、网点经办人	原受理网点、任一经办人	原受理网点、原经办人
单选题	贷记卡	贷记卡持卡人遗忘交易密码的应致电____办理密码重置。 	中	2	农行客服中心	信用卡客服中心	营业网点	个人客户经理
单选题	贷记卡	____指系统定期从持卡人指定账户扣款以偿还当期贷记卡欠款的业务。	易	4	委托还款	代理还款	协议还款	绑定还款
单选题	贷记卡	协议还款指持卡人到农业银行营业网点办理申请、更改贷记卡绑定还款的业务。还款方式为____。	中	1	全额还款	分期还款	余额还款	保证金还款
单选题	准贷记卡	准贷记卡密码解锁时持卡人输入密码三次后仍不能解锁的，应提示持卡人做____处理。	中	3	冻结账户	次日办理	密码挂失	重新输入
单选题	准贷记卡	准贷记卡司法冻结可选择的方式不包括____。	中	2	部分金额冻结	全部金额冻结	不收不付	只收不付
多选题	贷记卡	下列属于贷记卡签购单交易类型的有____。	易	1234	消费	手工结算	退货	联机结算
多选题	贷记卡	办理贷记卡激活业务，需要具备的条件有____。	易	1234	卡片未激活	卡片在有效期内	账户无拖欠或拖欠在60天以内	卡片无除A、B外的其他锁定码
多选题	准贷记卡	可做司法冻结的准贷记卡账户状态为____。	易	1234	销卡	挂失	锁定	未激活、过期
