试题类型	知识范畴	题干	试题难度	正确答案	答案				
多选题	专业知识	机构客户人民币大额存单按照付息方式和利率浮动组合可分为哪几种____。	难	1234	固定利率、到期还本付息的机构客户人民币大额存单	固定利率、定期付息的机构客户人民币大额存单	浮动利率、到期还本付息的机构客户人民币大额存单	浮动利率、定期付息的机构客户人民币大额存单	
多选题	专业知识	存款人开立银行结算账户，客户部门应根据“了解你的客户”原则及《办法》、《实施细则》等相关规章制度要求，对存款人提交的开户申请资料的____进行审查。	难	124	真实性	完整性	有效性	合规性	
多选题	专业知识	存款人开立银行结算账户，客户部门对存款人提交的开户申请资料进行审查，并在证明文件复印件逐份加盖“与原件核对一致”章和经办员签章后，将相关开户申请资料交营业网点。营业网点按照相关规章制度要求，对开户申请资料的____进行再次审核。	难	24	真实性	完整性	有效性	合规性	
多选题	专业知识	存款人申请临时存款账户展期的，应在账户有效期限内向开户行提供以下资料：____。	难	1234	《人民币银行结算账户管理办法》及实施细则等相关制度规定的证明文件。	临时存款账户开户许可证正本。	法定代表人或单位负责人有效身份证件；授权他人办理的，需出具授权书，并同时提供法定代表人及被授权人有效身份证件。	填制《临时存款账户展期申请书》，并加盖单位公章。	
多选题	专业知识	存款人由于被撤并、解散、宣告破产或关闭以及注销、被吊销营业执照、存款人类别更正或其他原因需要撤销银行结算账户的，应先撤销____，并将账户资金转入基本存款账户后，方可办理基本存款账户的撤销。	难	1234	一般存款账户	专用存款账户	临时存款账户	以上均是	
多选题	专业知识	变更核准类账户的____的，缴回原开户许可证正本。	难	12	存款人名称	法定代表人或单位负责人	地址	电话	
多选题	专业知识	存款人申请变更变更账户控制信息时，变更____的，提交《现金管理业务账户服务申请表》，并加盖预留印鉴。	难	234	账户支控方式	账户限额控制方式	账户交易渠道	账户收支种类	
多选题	专业知识	存款人到其开户行办理现金存入业务，应提交____。	难	23	现金支票	现金实物	现金缴款单	结算申请书	
多选题	专业知识	存款人到其开户行办理现金存入业务，营业网点应按照《中国农业银行临柜基本业务管理办法》等管理办法规定审核现金收款业务，并审核____。	难	123	现金缴款单各联次账号、户名、大小写金额是否正确，有无涂改。	收款人账号应是本行开立的账号。	清点现金实物，核对现金实物与现金缴款单是否相符。	现金存入业务经办人有效身份证件。	
多选题	专业知识	柜员受理通过同城票据交换等渠道转来的收款人开户行为本营业网点的转账存入业务，营业网点应按照《临柜基本业务管理办法》等规定审核转账收款业务，并审核以下内容____。	难	234	支付凭证正面是否填写支付密码。	记账凭证与所附原始凭证的记载事项是否符合《支付结算办法》等法规的规定。	记账凭证与所附联行来账凭证等支付凭证的记载事项是否符合《支付结算办法》等法规的规定。	收款人账号应是本营业网点开立的账号。	
多选题	专业知识	付款人到其开户行办理转账支取业务，应提交符合《支付结算办法》的转账支票、进账单等原始凭证。营业网点应按照《临柜基本业务管理办法》等规定审核转账付款业务，并审核以下内容____。	难	123	转账支票、进账单等原始凭证的印刷、要素填写、用途、期限、背书等是否符合《支付结算办法》等法规的规定。	付款人账号应是本营业网点开立的账号，并有足够支付的款项。	印鉴与预留银行印鉴是否一致；使用支付密码的，支付凭证正面是否填写支付密码。	是否预约并经有权人员审批。	
多选题	专业知识	存款人申请开通、停办通存通兑业务，应向其开户行提交的资料有____。	难	24	提交《中国农业银行营业网点单位银行结算账户通存通兑业务申请表》。	提交《变更银行结算账户信息申请书》（含协议），并加盖预留印鉴（个人银行结算账户加其个人签章）。	《单位人民币银行结算账户管理协议》。	法定代表人或单位负责人有效身份证件；授权他人办理的，需出具授权书，并同时提供法定代表人及被授权人有效身份证件。	
多选题	专业知识	存款人到非开户行的农行营业网点办理现金通存业务，应提交现金实物及现金缴款单，营业网点应按照《临柜基本业务管理办法》等规定审核现金通存业务，并审核____。	难	123	收款人账号应是非本网点农行账号。	现金缴款单各联次账号、户名、大小写金额是否正确，有无涂改。	清点现金实物，核对现金实物与现金缴款单是否相符。	现金通存业务经办人有效身份证件。	
多选题	专业知识	存款人申请为银行结算账户开通多级账簿功能时，应向开户行提交《现金管理业务多级账簿申请表》和经办人的有效身份证件。营业网点应审核的内容有____。	难	124	《现金管理业务多级账簿申请表》要素填写是否正确、完整，印鉴与预留银行印鉴是否相符。	申请账户是否为本营业网点开立的活期结算账户，且账户状态正常。	申请账户是否已签约支付密码。	若与银行签订了批量收费合约，且付费账户为非存款人结算账户的，应提交付费账户权属者同意付费的证明原件。	
多选题	专业知识	存款人申请设置多级账簿支付限额时，应向开户行提交《现金管理业务多级账簿申请表》和经办人的有效身份证件。营业网点审核以下内容____。	难	1234	申请设置的单笔限额是否小于或等于日限额。	日限额是否小于或等于月限额。	当维护内容为“不定期支付限额”时，不定期限额起始日期是否大于或等于当前会计日期。	不定期限额起始日期是否小于或等于不定期终止日期。	
多选题	专业知识	营业网点为存款人办理建立、修改或删除批量收费合约业务时，应审核以下内容____。	难	1234	《现金管理服务申请/维护表》是否经客户部门审查。	申请账号是否为本营业网点银行结算账号。	账户状态是否正常，申请账号和付费账号不得为注册验资户。	如果付费账户为非存款人账户的，是否具有付费账户权属者同意付费的证明。	
多选题	专业知识	注销企业的银企通平台，应先删除____等。	难	134	该企业客户号下银企通平台注册账户。	代收代付签约账户。	银企通平台授权关系。	银企通平台复核企业关系。	
多选题	专业知识	结算套餐重点营销目标是优质对公客户，优质客户的标准主要参考其账户的____。	难	234	存款余额	对公结算量	中间业务收入	授信情况	
多选题	专业知识	结算套餐根据其特点和服务群体，分为____。	易	124	尊享版	经典版	钻石版	卓越版	
多选题	专业知识	经典版套餐主要面向____的优质对公客户群体。	难	12	账户管理精细化程度高	结算业务便捷性要求强	企业网银服务功能齐全	受托支付产品品种繁多	
多选题	专业知识	各款结算套餐可根据不同类型客户的需求，将____等有关服务项目灵活组合进行设计。	难	123	账户管理	支付结算	现金管理	现金管理服务方案	
多选题	专业知识	在系统中建立结算套餐，输入要素主要包括：____套餐销售终止日期、套餐专享类型、套餐包含业务对应的收费信息等。	中	1234	套餐名称	类型	套餐执行日期	套餐销售开始日期	
多选题	专业知识	对公人民币结算套餐收费基数包含____。	易	1234	按笔收费	按金额收费	按月收费	按年收费	
多选题	专业知识	维护结算套餐交易分为____功能。	难	123	增加结算套餐新阶段	修改结算套餐已有阶段	修改销售日期	删除结算套餐阶段属性	
多选题	专业知识	单位存款分为____和人民银行规定的其他存款。	易	1234	活期存款	定期存款	通知存款	协定存款	
多选题	专业知识	单位存款业务应遵循____原则。	易	124	依法经营	综合营销	真实有效	讲求效益	
多选题	专业知识	单位定期存款是银行与存款单位双方在存款时事先约定____，到期后支取本息的存款。	中	24	种类	期限	利息	利率	
多选题	专业知识	人民币单位定期存款分为____几个档次。	易	234	一个月	三个月	六个月	一年	
多选题	专业知识	某公司已在农业银行开立银行结算账户，如需申请办理单位定期存款，须提交____，并预留印鉴。	易	13	定期存款开户申请书	营业执照正本	转账支票	组织机构代码证	
多选题	专业知识	存款单位通过现金管理客户端渠道开立的单位定期存款有____等转存方式。	难	1234	自动本金转存	自动本息转存、	约定本金转存、	约定本息转存	
多选题	专业知识	单位支取定期存款，须出具____并提供____，开户行审核无误后办理支取手续。	中	34	营业执照正本	法人身份证	预留印鉴	单位定期存款开户证实书	
多选题	专业知识	《协议存款合同书》内容应包括（但不限于）____等。	难	1234	存款金额	存款期限	存款利率	付息方式	
多选题	专业知识	"存款证明书仅对存款单位的账户信息予以证实,____。"	中	134	不得作为提取存款的权利凭证	可以转让	不具有担保	不具有担保质押效力	
多选题	专业知识	凡在农业银行有存款的单位，均可申请开具单位存款证明书，下列情况____不能办理存款证明业务。	中	124	已挂失	用于质押	已开具存款证明	司法冻结	
多选题	专业知识	存款人账户销户应填制“撤销银行结算账户申请书”提交开户行，运营主管认真审查“销户申请书”上销户人的____与印鉴卡上的记录是否一致。审查无误，在“销户申请书”上加注意见，签章后，交柜员办理销户。	难	124	名称	账号	金额	印章	
多选题	专业知识	单位银行结算账户按用途分为____。	易	1234	基本存款账户	一般存款账户	专用存款账户	临时存款账户	
多选题	专业知识	存款人在____情况下可以申请开立临时存款账户：	易	234	异地常设机构	设立临时机构	异地临时经营活动	注册验资	
多选题	专业知识	柜面交易对现金管理客户端、企业网银办理的定期存款只能进行____业务处理。	难	13	解冻	挂失	冻结	支取	
多选题	专业知识	可以办理单位协议存款的单位包括____：	易	234	科技公司	保险公司	邮政储汇局	社会保障基金	
多选题	专业知识	不能办理存款证明业务的存款账户包括____：	中	123	已挂失	质押	被司法部门冻结支付	协议存款	
多选题	专业知识	可以申请开立基本存款账户的单位有____。	易	1234	企业法人	机关、事业单位	民办非企业组织	个体工商户	
多选题	专业知识	存款人申请开立一般存款账户，应向银行出具____。	中	134	开立基本存款账户规定的证明文件	对账协议	基本存款账户开户登记证	借款合同或其他相关证明	
多选题	专业知识	有下列____应收款项未结清的单位结算账户不得销户。	易	1234	销户人的贷款、表内外应收未收利息是否还清	应收结算费用是否结清	账户使用的透支额度是否已经归还	隔夜透支利息、各种手续费是否已扣收	
多选题	专业知识	注册验资账户验资通过，不在验资银行开立存款账户，客户需提供____。	中	1234	营业执照正本及复印件	开立验资户时预留的印章	出资人有效身份证件及复印件，	在其他行（所）开立基本存款户的开户许可证	
多选题	专业知识	结算套餐签约，客户签约信息有误需要调整的，可以修改内容包括____：	易	123	合约生效日	合约周期	到期是否自动续约的设置	套餐名称	
多选题	公共基础	选择“22400保证金账户基本信息维护”交易，录入相关要素后提交。可维护以下内容。	易	1234	户名	所属合同账号	转存标识	利息入账方式	
多选题	公共基础	关于保证金支付/退还的相关事项，以下____说法是正确的。	难	1234	保证金账户资金客户不得自由使用，开户行不得出售支付结算工具，只能依据客户部门通知进行退还或支付。	保证金账户不允许通存通兑，只能转账支取，不得透支。	保证金支付的转入账户类型为结算账户时，结算账户与保证金账户必须属于同一客户。	当定期保证金支付后的余额不足起存金额时，必须进行销户交易	
多选题	公共基础	保证金账户有权机关查询时，经办柜员需审核《协助查询存款通知书》上的____内容？	易	1234	所列被查询单位或个人保证金账户的开户行是否为本行	存款人账号、户名是否相符	有权机关执法人员的工作证件	有权机关执法人员的身份证	答案错误
多选题	公共基础	审批开立保证金账户这项业务时，客户部门受理客户申请后，需根据“了解你的客户”原则，对客户申请资料的____进行审查并留存客户身份识别资料，审核《开立/变更保证金账户申请书》等通过后，由客户经理和客户部门负责人在申请书上签字后提交开户行。	中	134	真实性	有效性	完整性	合规性	
多选题	公共基础	保证金开立的账户类型为____。	中	234	保证金账户	凭证账户	追加账户	合同账户	
多选题	公共基础	保证金计结息按照____的结息方法执行。	易	1234	单位活期	整存整取	非标准期限	协定存款	
多选题	公共基础	受理保证金关联业务的客户部门应履行以下职责：____	难	1234	负责受理客户业务申请，识别客户身份。	负责按业务种类登记业务台账，逐笔列明收取保证金的客户名称、合同编号或业务编号、保证金账号及金额等要素。	保证金所担保的业务终止后，负责及时通知保证金开户行对该保证金账户做销户处理。	在受理有权机关强制扣划业务时，负责确认保证金所担保的业务合同履行情况，依据相关法律法规向有权机关和开户行明确保证金能否扣划。	
多选题	公共基础	保证金账户在账户状态____时才能销户。	易	234	清息	正常	无冻结	无封户	
多选题	公共基础	以下哪几项内容不允许保证金账户操作。____	易	1234	作为结算账户使用	通存通兑	存取现金	出售支付结算凭证	
多选题	公共基础	申请开立的保证金账户类型为开立合同账户的，计息方式只能为按____。	易	14	活期	定期	定活	不计息	
多选题	公共基础	保证金账户冻结/解冻时，经办柜员需核对《解除冻结存款通知书》上所列的____等信息与原保管的《协助冻结存款通知书》内容是否一致。	易	134	原冻结日期	原办理冻结业务的执法人员	原冻结文书的文号	存款人名称	
多选题	公共基础	保证金续存时，需审核《保证金存入/支付/销户通知书》填写的客户名称、金额、账号等要素是否有涂改，____签名等是否齐全。	易	12	客户部门负责人	客户经理	网点主任	运营主管	
多选题	公共基础	以下关于保证金利息冲正说法正确的是____。	难	1234	保证金利息冲正交易不支持抹账	补付利息时，先进行利息补付调整，再将利息存入客户结算账户；冲减利息时，先从客户结算账户支取，再进行利息冲减调整。	本交易支持活期保证金、定期保证金、非标准存期保证金。	本交易支持本外币多币种	
多选题	单位结算卡	单位结算卡开卡联网核查证件验证方式为____。	易	123	出示	核查	留存	不留存	
多选题	单位结算卡	开立单位结算卡时，柜员应认真审核客户所提供证件资料的____。	易	134	真实性	准确性	完整性	合规性	
多选题	单位结算卡	客户办理单位结算卡密码解锁需提供的资料为____。	中	124	持卡人有效身份证件原件	《中国农业银行股份有限公司单位结算卡业务申请表》	授权委托书	单位结算卡	
多选题	单位结算卡	40449单位结算卡密码管理可实现____等操作。	中	234	密码挂失	密码修改	密码解锁	密码重置	
多选题	单位结算卡	“40049按客户信息/账号查询卡号”交易，可以通过____方式查询卡号，需1+0授权。	中	1234	结算账号	单位证件号码	挂卡人证件号码	法定代表人证件号码	
多选题	单位结算卡	单位结算卡持卡人变更时客户需提供的资料为____。	难	124	加盖预留印鉴的《中国农业银行股份有限公司单位结算卡业务申请表》	新、旧持卡人有效身份证件原件	法定代表人和经办人有效身份证件原件	经办人非企业法定代表人（单位负责人）办理的，需提供加盖公章、法定代表人（单位负责人）签字的《中国农业银行股份有限公司单位结算卡业务授权委托书》。	
多选题	单位结算卡	客户办理单位结算卡过渡转出所需提供的资料____。	易	1234	参照个人借记卡转账业务的要求提供有效身份证件或其它身份证明文件	单位结算卡	有效的存款凭条	进账单或收款凭证	
多选题	单位结算卡	单位结算卡无卡存款超过____需联网核查，有卡存款超过____需联网核查。	中	24	1万（不含）	1万（含）	5万（不含）	5万（含）	
多选题	单位结算卡	以下关于单位结算卡补/换卡的说法正确的是（）	难	24	必须持卡人本人办理该业务，非持卡人办理的需要先进行持卡人信息变更，必须在账户行办理。	法定代表人/负责人签字可以是签字或者加盖名章	联网核查证件验证方式为出示核查	换卡后新卡自动继承旧卡的关联账户关系	
多选题	公共基础	银行《询证函》的内容主要包括以下哪些方面____。	易	1234	企业银行存款余额询证	企业银行借款余额询证	企业注册验资询证	企业其他银行业务询证	
多选题	公共基础	营业机构受理银行《询证函》业务，必须同时符合以下哪些条件____。	易	1234	被审计单位在本营业机构开立结算账户	银行《询证函》必须以被审计单位名义发出	被审计单位必须在银行《询证函》上加盖企业预留银行印鉴	银行《询证函》中需要询证的数据必须明确具体	
多选题	公共基础	柜员在受理银行《询证函》业务以及运营主管在审核时，须认真审查____。	中	1234	核对银行《询证函》账号、户名等要素是否与我行系统严格一致	核对银行《询证函》签章是否齐全	核对银行《询证函》是否由审计单位以被审计单位名义出具	核对银行《询证函》的日期是否在有限期内	
多选题	公共基础	办理企业银行存款余额询证业务时，柜员须对银行《询证函》上填写的____等内容与BoEing系统主档信息、明细流水的日终余额等进行核查后才能继续进行后续办理。	难	1234	企业账号	户名	币种	利率	
多选题	对公客户信息	基于对对公客户基本信息历史变更的查询，通过输入客户号和日期，我们可以查询到以下项历史信息	中	1234	组织机构代码	存款人类别	注册资金	经营范围	
多选题	对公活期账户	单位存款冲正红蓝字标志应根据冲正性质选择，下列说法正确的有	难	123	当年冲账选择“1—红字”。	跨年冲账时选“2—蓝字”	当年和跨年补账都选择“2—蓝字”。	当年和跨年补账都选择“１—红字”。	
多选题	对公活期账户	通存通兑业务，实行的原则。	易	1234	统一管理	分级实施	各司其职	安全高效	
多选题	对公收费	21228收费交易不支持的收费种类有	中	34	按笔数收费	按金额收费	按包月收费	按年收费	
多选题	对公收费	退费用于处理所有错误的收费交易，下列说法正解的是	中	123	必须是在本网点交易的收费记录。	需退费的收费需与退费交易中输入的原收费日期、原收费日志号一致。	已登记并收妥的收费明细进行退费后，其收妥标志变更为“退费”。	跨自然年度已收取费用同样能正常退费。	
多选题	对公收费	农业银行系统根据产品设置，分为对产品和服务收取的周期性费用和由业务触发的服务收费，下列是按周期性费用收费的是	难	24	账户透支手续费	结算帐户年费	委托贷款手续费	小额帐户管理费	
多选题	对公非活期存款	对公通知存款本金100万，建立通知时，以下哪几种情况会交易失败	中	14	建立通知9万	建立通知20万	建立通知50万	建立通知60万	
多选题	对公非活期存款	支付客户对公非活期存款利息的周期或频率，分为	易	12	利随本清	定制结息	还本付息	按季结息	
多选题	对公非活期存款	目前对公非活期账户状态除正常外还有	易	1234	全封	销户	挂失	冻结	
多选题	对公账户增值服务	网点开立活期结算账户的机构客户开通信息服务功能时，开通余额通知周期可以选择每日、每周，还可选择	中	1234	每月	每季	半年	每年	
多选题	对公结算账户融资理财服务	以下关于对公结算账户融资理财“透支”的表述正确的是	难	1234	对于透支授信额度1个月后即将到期的透支账户，波音系统生成“透支授信即将到期”提醒数据，提供柜员打印功能。	当存款人结算账户存在未归还的隔夜透支，并且在7天内即将超过设定的隔夜透支转逾期贷款天数，系统生成“隔夜透支即将到期”提醒数据，提供柜员打印功能。	如果透支账号、联动还款账号同时是贷款还款账户，在还贷日应先还贷款再还透支。	对于不同活期存款账号发生的透支，如联动还款账号相同，则按照透支账号顺序进行还款。	
多选题	对公结算账户融资理财服务	以下关于对公结算账户融资理财中透支的关闭处理流程正确的是	难	1234	透支合同到期或者出现其他原因需要关闭透支的情况。	在CMS系统中将企业透支授信额度清零。	在BOEING中，查询是否有未归还的日间透支，如有则归还日间透支账户，查询是否有未归还的隔夜透支，如有则归还隔夜透支。	如果需要重新开通透支功能，则需要重新开通企业透支功能并维护透支额度的信息。	
多选题	多级账簿	下列选项中，关于结算账户与多级账簿的关系正确的是	中	123	结算账户只能开通或者关闭多级账簿功能	开通时系统自动生成一个一级账簿（账簿号：0000000000）和一个待清分账簿（账簿号：9999999999）	关闭多级账簿功能时系统会自动关闭所有的多级账簿关系。	关闭多级账簿功能时系统会不自动关闭所有的多级账簿关系。	
多选题	多级账簿	下列关于多级账簿的计息的描述，正确的是	难	1234	多级账簿的计息是客户内部的资金计价，在多级账簿之间进行分配，不涉及银行账户资金变化。	银行只对单位结算账户按照约定的规则计息，结息时，银行对结算账户计付的利息同步计入自身账簿（账簿号0000000000）。	多级账簿内部，自身账簿与待清分账簿不计息，每一级账簿均从上级账簿的自身余额中进行计息，按照事先约定是否分配进行处理。	多级账簿计息周期系统默认为按季（每季末20日）。	
多选题	多级账簿	以下关于多级账簿的说法正确的是	难	1234	多级账簿是指客户在同一结算账户下开设的用于记载一定时期内资金收付明细和余额的多种类、多层级的明细核算登记簿。	账簿自身余额是指本级账簿发生收付业务的轧差数。	账簿汇总余额是账簿自身余额与所有下级账簿自身余额之和。	多级账簿实行有偿服务的原则。	
多选题	多级账簿	客户开通多级账簿产品可以实现以下功能。	中	1234	同一结算账户分类明细核算	额度管理控制	分类查询统计	资金内部计价	
多选题	现金管理特殊归集服务	现金管理特殊归集模块，包含以下哪两个产品	易	13	平等资金池	非平等资金池	虚拟资金池	真实资金池	
多选题	现金管理特殊归集服务	平等资金池业务审批，按照《中国农业银行现金管理客户服务流程》审核无误后，填写《现金管理业务工作通知单》附随等资料提交本级行运营管理部。	易	1234	<<现金管理服务申请/维护表》》	《授权书》	《账户清单》	《现金管理服务收费表》	
多选题	现金管理特殊归集服务	正头寸和负头寸均可供客户选择的处理模式为	中	1234	账户优先	先小后大	先大后小	加权平均	
多选题	现金资金归集服务	以下哪些选项批量资金归集模式下支持双向归集	中	124	普通批归	取整归集	按账户余额比例归集	超限额后全部归集	
多选题	现金资金归集服务	下列说法正确的是	中	134	定时归集支持双向归集	定时归集可设置的时点为8：00至21：00间的整点和半点	多种日期只支持同一套时点	直接上级帐户可下拨金额如不足以补足该帐户最低留存金额，系统将不进行下拨	
多选题	现金资金归集服务	定时归集是指按照客户的约定，系统自动在既定日期内具体的归集时点，按照既定的发起的资金归集。	难	124	归集方式	归集方向	归集金额	留存金额	
多选题	现金管理银企通管理	40415银企通授权关系管理交易，电子支付费的收费基数有	中	124	按笔数	按包月	按包年	按金额	
多选题	现金管理银企通管理	开通代理资金监管业务需要监管方和被监管方分别与我行签署双方协议。	易	1234	现金管理银企通服务申请表（监管方）	现金管理银企通服务申请表（被监管方）	现金管理银企通服务账户清单	资金监管归集账户特殊维护申请表	
多选题	现金管理银企通管理	下列说法正确的是	中	123	"关联登记账号需为人民币活期结算账号。设置关联登记账号时需同时
修改该账户主档中的“关联银企通”标识位。"	银企通签约维护交易需三级主管授权，交易成功后实时生效且不可抹账。	同一个单位证件号码可开通多个银企通。	银企通签约维护交易需三级主管授权，交易成功后不实时生效且可抹账。	
多选题	现金管理银企通管理	BoEing系统银企通模块的主要功能有	易	1234	签约维护	授权关系管理	信息查询	全球现金管理签约维护	
多选题	金融机构协助查询、冻结、扣划工作管理工作规定	下列有权扣划的机关有	难	234	公安机关	人民法院	税务机关	海关	
判断题	专业知识	公司客户人民币大额存单的投资人包括金融企业、机关团体和中国人民银行认可的其他单位(不含机构类客户)。	易	-1					
判断题	专业知识	公司客户人民币大额存单采用标准期限的产品形式。大额存单期限包括1个月、3个月、6个月、9个月、1年、18个月、2年、3年、4年和5年共10个品种。	易	-1					
判断题	专业知识	公司客户人民币大额存单自认购之日起计息，付息方式分为到期一次还本付息和定期付息、到期还本。	易	1					
判断题	专业知识	公司客户人民币大额存单提前支取时如留存余额小于最低存款基数时将全额销户。	易	-1					
判断题	专业知识	公司客户人民币大额存单投资人在起存金额以上的部分须按照指定金额的整数倍购买，该起存金额即为存款基数。	易	-1					
判断题	专业知识	公司客户人民币大额存单发行机构为投资人办理提前支取时，计息只能按支取日挂牌活期利率计息。	易	-1					
判断题	专业知识	公司客户人民币大额存单发行人赎回时，根据不同的情况，可对特定范围投资人办理赎回业务。	易	-1					
判断题	专业知识	机构客户人民币大额存单采用纸质方式，仅在中国农业银行营业网点发行。	易	-1					
判断题	专业知识	同一存款单位在同一营业机构办理多笔机构客户人民币大额存单，可以共用一套印鉴卡片，无须再签订规范操作的协议。	易	-1					
判断题	专业知识	机构客户人民币大额存单不可以用于办理质押业务。	易	-1					
判断题	专业知识	经办行应妥善保存机构客户人民币大额存单产品协议书，随当日传票装订，以备查验。	易	-1					
判断题	专业知识	机构客户人民币大额存单属银行贷款类金融产品。	易	-1					
判断题	专业知识	机构客户人民币大额存单的发行利率以总行定价方式确定。	易	-1					
判断题	专业知识	机构客户人民币大额存单的起存金额以产品协议书为准，不需要明确购买的递增金额。	易	-1					
判断题	专业知识	存款人开立银行结算账户，应向开户行提供法定代表人或单位负责人有效身份证件及复印件；授权他人办理的，需出具授权书，并同时提供法定代表人及被授权人有效身份证件及复印件。	易	1					
判断题	专业知识	变更核准类账户的存款人名称、法定代表人或单位负责人及电话的，缴回原开户许可证正本。	易	-1					
判断题	专业知识	申请变更银行结算账户的存款人名称、法定代表人或单位负责人的，应缴回原印鉴卡。	易	1					
判断题	专业知识	存款人到其开户行办理现金支取业务，应提交符合《支付结算办法》等制度规定的现金支票等支付凭证，收款人是个人的还应提交收款人有效身份证件。	易	1					
判断题	专业知识	结算套餐是指将我行各单项结算产品进行组合，以整体的形式向客户提供结算业务解决方案的一种服务。	易	1					
判断题	专业知识	结算套餐根据套餐编号确定其唯一性；各类对公人民币结算账户均可签约结算套餐。	易	1					
判断题	专业知识	每个结算套餐都有销售期，只有在销售期内才允许账户与结算套餐进行签约。	易	1					
判断题	专业知识	营业机构收到客户填写并加盖单位公章的结算套餐签约协议（多联）及未加盖预留印鉴的业务申请书（多联），审核无误后方可办理结算套餐的签约交易。	难	-1					
判断题	专业知识	单位活期存款按日计息，按季结息，计息期间遇利率调整分段计息。	易	1					
判断题	专业知识	单位定期存款账户可以用于结算，但不可以从定期存款账户中提取现金。	中	-1					
判断题	专业知识	同一存款单位在同一营业机构办理多笔定期存款，可以共用一套印鉴卡片，应须事先与开户行签订规范操作的协议。	易	1					
判断题	专业知识	单位定期存款在存期内按存款支取日总行规定的相应档次定期存款利率水平计付利息，遇利率调整，不分段计息。	难	-1					
判断题	专业知识	存款单位支取单位通知存款，须提交证实书和预留印鉴，支取现金销户。	中	-1					
判断题	专业知识	单位协定存款是指存款单位与农业银行协议约定，在人民币结算账户之上，开立协定存款账户。	难	1					
判断题	专业知识	单位存款证明书仅对存款单位的账户信息予以证实，不得作为提取存款的权利凭证，不得转让，不具有担保或质押效力。	中	1					
判断题	专业知识	A公司为我行的存款大户，我行与其签订了为期2年的单位协定存款协议。	中	-1					
判断题	公共基础	保证金账户的开户主体为保证金出资人。	易	1					
判断题	公共基础	当同一时间需要开立多个保证金账户时，即使开户要素完全相同，也不可以只填写填制一份《开立／变更保证金账户申请书》。	中	-1					
判断题	公共基础	保证金账户只允许转账开立，不得存取现金。	易	1					
判断题	公共基础	保证金开户时，账户名称可以不含有“保证金”字样。	易	-1					
判断题	单位结算卡	单位结算卡的开卡对象为我行辖属机构开立基本存款账户、一般存款账户、专用存款账户和临时存款账户（注册验资户除外）的单位。	易	1					
判断题	单位结算卡	单位结算卡开卡需3+0授权，如设置限额超过系统默认限额的，需要双主管授权。	中	1					
判断题	单位结算卡	单位结算卡手机安全认证码签约/解约/修改业务，均需要3+0主管授权。	难	-1					
判断题	单位结算卡	单位结算卡关联账户维护必须由持卡人本人办理该业务，非持卡人办理的需要先进行持卡人信息变更。	易	1					
判断题	单位结算卡	单位结算卡手机安全认证码签约/解约/修改以单位名义办理，《中国农业银行股份有限公司单位结算卡业务申请表》需加盖单位公章和预留银行印鉴。	难	-1					
判断题	公共基础	银行办理《询证函》业务指的是银行对银行《询证函》内容是否与银行账务记录相符进行审查，并在银行《询证函》上作出“无误”或“不符”的认定行为。	易	1					
判断题	公共基础	银行《询证函》中必须注明审计单位的具体名称和联系方式。	中	1					
判断题	公共基础	银行对《询证函》有关数据进行核对并认定相符与否，同时可在银行《询证函》上替审计单位或被审计单位填写。	难	-1					
判断题	对公客户信息	帐户信息是办理各种合约/产品的基础，帐户信息准确与否直接影响到客户统一视图的完整性，对经营分析的准确性产生重要的影响。	难	-1					
判断题	对公活期账户	跨所对公账户现金业务交易发现错账时，当日交易可由交易行抹账，隔日交易需由开户行冲正	中	-1					
判断题	对公活期账户	对于通过银企客户端发起的交易，必须由客户端取消，前台柜面不允许取消。	难	1					
判断题	对公收费	BoEing系统中，对公付费账户由客户指定，可以是本所账户，也可以是跨所账户，外币付费账户可以和申请账户不在同一网点。	中	-1					
判断题	对公非活期存款	通知存款部分支取，留存部分低于起存金额的应予以清户，按清户日挂牌公告的活期存款利率计息，或根据存款人意愿转为其它存款；留存部分高于最低起存金额的，需重新填写通知存款单或凭证，从原开户日计算存期。	易	1					
判断题	对公非活期存款	对公非活期账户已被部份冻结，可以再进行全封；若账户已被全封，则不允许再进行部份冻结。	易	1					
判断题	对公账户增值服务	与存款人签订账户支付限额服务合约后，若存款人账户有够余额支付，但受到限额控制而不能支付时，银行因余额不足支付进行退票处理。	难	-1					
判断题	对公结算账户融资理财服务	对公结算账户融资理财约定转存：客户办理活期存款账户转存定期/通知存款签约后，当活期结算账户上存款余额超过约定留存金额部分时，系统将超过约定留存金额部分全部转化为定期存款或七天通知存款。	易	-1					
判断题	多级账簿	开通多级账簿功能时，由系统自动生成，账簿号为9999999999。	易	-1					
判断题	现金管理特殊归集服务	在平等资金池中，加入资金池的账户之间是平等的，在集团的支付额度范围内，都能自由对外支付	易	1					
判断题	现金资金归集服务	委托贷款手续费收费渠道默认为柜台（TERM），收费基数为按金额。委托贷款手续费由贷款发放方登记收取，归还贷款不再收取委贷手续费。	易	1					
判断题	现金管理银企通管理	企业客户开通银企通平台后，经过账户授权，不仅可以对自身帐户进行管理操作，还可以对其他企业帐户进行操作。	中	1					
