试题类型	知识范畴	题干	试题难度	正确答案	答案																																																																																																																																																																																																																																																							
单选题	公共基础	刘某没有代理权，冒充王某的代理人，在票据上以代理人名义签章，该票据责任的承担者是（  ）。	中	2	王某	刘某	刘某与王某	相对人																																																																																																																																																																																																																																																				
单选题	公共基础	在电子商业汇票处于以下哪种票据状态时，不能发起通用撤销交易（  ）。	中	4	质押解除待签收	提示收票待签收	质押待签收	提示承兑已签收																																																																																																																																																																																																																																																				
单选题	公共基础	关于电子商业汇票撤票（未用退回）业务，以下说法不正确的是（  ）。	中	2	撤票后，出票人又申请签发相同内容的电子银行承兑汇票的，应视同一笔新业务处理。	撤销已承兑电子商业承兑汇票，产生账务处理。	撤票处理成功后通过票面信息查询，票据状态为“票据已作废”。	客户委托银行代为办理撤票申请的，向其开户行提交的资料包括加盖其预留银行印鉴的申请表。																																																																																																																																																																																																																																																				
单选题	公共基础	关于电子商业汇票，以下说法错误的是（  ）。	难	3	出票人或背书人在电子商业汇票上记载了 “不得转让”事项的，电子商业汇票不得继续背书。	出票人不得在提示付款期后将票据交付收款人。	交付是指票据当事人将电子商业汇票发送至受让人的行为。	电子商业汇票责任解除前，电子商业汇票的承兑人不得撤销原办理电子商业汇票业务的账户，接入机构不得为其办理销户手续。																																																																																																																																																																																																																																																				
单选题	公共基础	关于电子商业汇票承兑，以下说法正确的是（  ）。	难	1	电子银行承兑汇票由真实交易关系或债权债务关系中的债务人签发，并交由金融机构承兑。	电子银行承兑汇票的出票人与收款人可以为同一人。	电子商业汇票可在交付收款人后由付款人承兑。	承兑人应在票据到期日前一个月内承兑电子商业汇票。																																																																																																																																																																																																																																																				
单选题	公共基础	出票日期为2015年12月30日，付款期限为两个月的银行本票，持票人最迟哪天提示见票不会丧失对其前手的追索权（  ）。	中	2	2016年2月28日	2016年2月29日	2016年3月1日	2016年3月2日																																																																																																																																																																																																																																																				
单选题	案例分析	乙公司与丙公司交易时以汇票支付。丙公司见汇票出票人为甲公司，遂要求乙公司提供担保，乙公司请丁公司为该汇票作保证，丁公司在汇票背书栏签注“若甲公司出票真实，本公司愿意保证”。后经了解甲公司实际并不存在。丁公司对该汇票承担什么责任?（    ）	难	3	应承担一定赔偿责任。	只承担一般保证责任，不承担票据保证责任。	应当承担票据保证责任。	不承担任何责任。																																																																																																																																																																																																																																																				
单选题	案例分析	2016年1月7日甲向乙签发一张本票，乙持票后将该本票背书给丙，丙又背书给丁。丁于3月11日向甲提示付款，因手续欠缺，未得到付款。丁可以向（  ）行使追索权。	难	1	甲	乙	丙	甲乙丙中的任何一个、数人和全体																																																																																																																																																																																																																																																				
单选题	案例分析	甲是汇票的出票人，乙、丙、丁为依次背书人，戊从丁处取得该汇票，乙在背书时在票面记载“不得转让”字样，丙是限制民事行为能力人。在戊提示付款遭到拒绝后他可以采用的救济方法是下列哪项所述方法?（  ）	难	1	戊只能向甲、丁行使追索权。	丙的背书无效，但戊可以向甲、乙、丁行使票据权利，请求支付票面金额。	乙的背书无效，但戊可以向甲、丙、丁行使票据权利，请求支付票面金额。	上面说法都不对，因为乙在背书时已在票面记载“不得转让”所以丙之后的背书行为都无效，戊不是票据权利人。																																																																																																																																																																																																																																																				
单选题	案例分析	甲向乙背书转让面额为20万元的汇票作为购买房屋的价金，乙接受汇票后背书转让给第三人丙。如果甲、乙之间的房屋买卖合同被合意解除，则甲主张的权利有哪些?（  ）	难	2	请求乙返还汇票。	请求乙返还20万元现金。	请求从乙处受让汇票的第三人丙返还汇票。	请求付款人停止支付。																																																																																																																																																																																																																																																				
单选题	案例分析	甲签发票据给乙，丙从乙处窃取票据，丁明知乙是窃贼而以明显低价受让票据，丁又将票据赠送给不知情的戊。下列说法哪些正确：（    ）	难	2	戊为基于善意的合法持票人，可以请求付款。	付款人可以经乙通知止付为由拒绝付款。	戊提示付款被拒绝后可向甲追索。	戊被拒绝付款后可以向丁追索，丁清偿后可以再追索。																																																																																																																																																																																																																																																				
单选题	案例分析	甲在将一汇票背书转让给乙时，未将乙的姓名记载于被背书人栏内。乙发现后将自己的姓名填入被背书人栏内。下列关于乙填入自己姓名的行为效力的表述中，正确的是（    ）。 	难	2	无效	有效	可撤销	甲追认后有效																																																																																																																																																																																																																																																				
单选题	案例分析	背书人甲将一张100万元的汇票分别背书转让给乙和丙各50万元，下列有关该背书效力的表述中，正确的是（    ）。	难	1	背书无效	背书有效	背书转让给乙50万元有效，转让给丙50万元无效	背书转让给乙50万元无效，转让给丙50万元有效																																																																																																																																																																																																																																																				
单选题	案例分析	甲以乙为收款人签发了一张F银行承兑的汇票，票据金额是10万元。乙将票据背书转让给丙，丙将票据金额变造为20万元后转让给丁。丁又将票据赠与给戊。票据上有熊二的保证签名，但没有记载对谁保证，以及签字的时间。则以下表述错误的是（    ）。 	难	2	被保证人为出票人甲，保证日期为出票日期。	被保证人为F银行，保证日期为出票日期。	被保证人为出票人甲，保证日期为承兑日期。	被保证人为F银行，保证日期为票据到期日。																																																																																																																																																																																																																																																				
单选题	专业知识	不属于单位、个人和银行办理支付结算必须遵守的原则是：（     ）	易	4	恪守信用，履约付款	谁的钱进谁的账，由谁支配	银行不垫款	准确、及时、安全办理支付结算																																																																																																																																																																																																																																																				
单选题	案例分析	甲公司向乙公司签发了一张付款人为丙银行的承兑汇票。丁向乙公司出具了一份担保函，承诺甲公司不履行债务时其承担连带保证责任。乙公司持票向丙银行请求付款，银行以出票人甲公司严重丧失商业信誉为由拒绝付款。对此，下列哪一表述是正确的？（    ）	难	2	乙公司只能要求丁承担保证责任。	丙银行拒绝付款不符法律规定。	乙公司应先向甲公司行使追索权，不能得到清偿时方能向丁追偿。	丙银行可以拒绝付款。																																																																																																																																																																																																																																																				
单选题	公共基础	如果持票人将出票人禁止背书的汇票转让，在汇票不获承兑时，下列有关出票人对持票人票据责任的表述中，正确的是（  ）。	难	1	出票人对持票人不负任何票据责任。	出票人仍须对善意持票人负偿还票款的责任。	出票人与背书人对善意持票人负偿还票款的连带责任。 	持票人可以向出票人进行追索。																																																																																																																																																																																																																																																				
单选题	案例分析	王某拾得一张汇票，伪造了汇票上的收款人甲公司的签章将汇票背书给李某，李某向付款人提示付款被拒绝。下列说法正确的是：（    ）。	难	4	李某有权向王某和甲公司行使追索权。	李某有权向甲公司行使追索权。	李某有权向王某行使追索权。	李某无权向王某和甲公司行使追索权。																																																																																																																																																																																																																																																				
单选题	公共基础	以下应当认定背书行为无效的情形不包括（    ）。	难	4	以质押票据再行背书质押。	以质押票据再行背书转让。	出票人在票据上记载“不得转让”字样，票据持有人背书转让。	背书人未记载被背书人名称即将票据交付他人的，持票人在票据被背书人栏内记载自己的名称。																																																																																																																																																																																																																																																				
单选题	公共基础	以下应当认定票据无效的情形不包括（    ）。	难	4	实际结算金额更改的银行汇票。	出票人签章不真实的票据。	未使用按中国人民银行统一规定印制的票据。	将汇票金额的一部分背书转让的票据。																																																																																																																																																																																																																																																				
单选题	公共基础	承兑行接到法院冻结止付等影响票据权利的事件发生时，应在收到法院通知（    ）内依托大额支付系统或其他适当方式通知查询行。票据查询行如已将票据转出，应通过适当方式通知交易对手。	难	2	下一个工作日	两个工作日	三个工作日	三个自然日																																																																																																																																																																																																																																																				
单选题	案例分析	甲为16周岁公民，背书转让一汇票于乙，乙又背书转让，最后持票人丙提示承兑被拒绝后，向甲追索，甲的哪些主张可构成抗辩（拒绝支付）?（    ）。	难	1	甲为限制民事行为能力人，其签章无效，不负票据责任。	甲不是付款人，无付款责任。	乙尚欠甲债务未归还。	甲、乙间授受票据时所依据的买卖合同归于无效，甲、乙间转让票据的行为归于无效， 因而甲不是票据债务人。																																																																																																																																																																																																																																																				
单选题	公共基础	本票经办行经办员（    ）根据银行本票兑付清单，抽取、核对本票卡片。	易	1	每日	每周	每月	每季																																																																																																																																																																																																																																																				
单选题	公共基础	单位和个人在（    ）需要支付各种款项，均可以使用银行本票。	难	4	同城	异地	同城和异地	同一票据交换区域																																																																																																																																																																																																																																																				
单选题	公共基础	（    ），需支取现金的，可申请签发现金银行汇票或现金银行本票。	易	3	申请人为个人	收款人为个人	申请人和收款人均为个人	以上都不对																																																																																																																																																																																																																																																				
单选题	公共基础	签发个人银行汇票金额超过（    ）元（含），需进行联网核查，并留存影印件或复印件。	易	2	1万	5万	10万	50万																																																																																																																																																																																																																																																				
单选题	公共基础	未在农业银行开立账户的个人客户，以现金方式申请银行汇票金额人民币（    ）元（含）以上的，除进行联网核查、留存影印件或复印件外，还应按反洗钱规定登记客户身份基本信息。	易	1	1万	5万	10万	20万																																																																																																																																																																																																																																																				
单选题	公共基础	银行汇票多余款账户的多余款项应在产生余额（    ）处理完毕。	易	2	当日	次日	三日内	一周内																																																																																																																																																																																																																																																				
单选题	公共基础	银行汇票解除法院止付只能由（    ）办理。	难	2	经办行	出票行	持票人	出票人																																																																																																																																																																																																																																																				
单选题	公共基础	在“银行汇票多余款”科目下，设置“银行汇票多余款”账户，本账户设置在（    ）。	易	2	出票行	经办行	一级分行	二级分行																																																																																																																																																																																																																																																				
单选题	公共基础	银行汇票签发、调签、移卡、结清、退款、超期付款差错和系统内银行汇票兑付差错，次日发现的，对误签发的应联系出票申请人，收回误签发的银行汇票做未用退回或重新签发；对误结清、退款、超期付款银行汇票或兑付系统内银行汇票的，应逐级上报（    ）处理。	易	1	总行	一级分行	二级分行	支行																																																																																																																																																																																																																																																				
单选题	公共基础	（    ）受理移卡类汇票无法兑付的，经确认为移卡行接收移卡差错后，可向移卡行发送网内往来借方报单兑付汇票或由移卡行重新移卡。 	中	3	出票行	经办行	代理付款行	以上答案均正确																																																																																																																																																																																																																																																				
单选题	公共基础	汇票经办行经办员（    ）根据银行汇票已兑付清单，抽取、核对汇票卡片；检查银行汇票多余款账户，如有余额及时处理。	易	1	每日	每周	每旬	每月																																																																																																																																																																																																																																																				
单选题	公共基础	持票人因汇票超过提示付款期限不获付款的，在票据权利时效内请求出票行超期付款时，出票行应按照《支付结算办法》等有关规定认真审查持票人提交的汇票第二、三联、（    ）、证明或身份证件，抽出专夹保管的汇票第一、四联进行核对。	难	3	解讫通知	持票证明	进账单	以上答案均正确																																																																																																																																																																																																																																																				
单选题	公共基础	经审核有误的银行汇票，代理付款行应拒绝受理并出具拒绝受理通知书，（    ）。	难	4	将银行汇票退回签发行	将银行汇票退交出票人	将银行汇票暂时留存	将银行汇票退交持票人																																																																																																																																																																																																																																																				
单选题	公共基础	银行汇票票面上指定的代理付款行办理银行汇票挂失止付和解除挂失止付的，应（    ）。	难	4	通过电话通知付款人	通过查询通知付款人	通过电话通知出票行 	通过查询通知出票行																																																																																																																																																																																																																																																				
单选题	公共基础	提出借方票据应遵循原则是	易	2	"我行票据,收妥进账,银行不垫款"	他行票据，收妥进账，银行不垫款	"我行票据,收妥进账,银行可垫款"	"他行票据,通知付款,银行不垫款"																																																																																																																																																																																																																																																				
单选题	公共基础	营业机构如发现伪造、变造票据应如何处理？（    ）。	中	2	退回持票人不予进行受理	予以没收，协同安全保卫部门向当地公安机关报案。对本行收缴的票据凭证开立收据，注明票据种类、号码以及必须记载事项，交持票人作为举证依据	退回持票人不予进行受理，但需对票据种类、号码等相关要素进行记录，便于后期公安机关破案取证	予以没收，上报上级行安全保卫部门后封箱入库进行妥善保管。																																																																																																																																																																																																																																																				
单选题	公共基础	如营业机构发现、堵截伪造、变造票据凭证应于什么时间内报送上级行？（    ）。	易	3	三小时内	当日	当日至迟次日（或下一工作日）	当日至迟三个工作日内																																																																																																																																																																																																																																																				
单选题	公共基础	营业机构对已收缴的伪造、变造票据应于什么时间内移交上级主管部门保管？（    ）。	易	3	一周内	15日内	一个月内	三个月内																																																																																																																																																																																																																																																				
单选题	公共基础	已收缴伪造、变造票据保管期限（    ）。	易	4	5年	15年	30年	永久																																																																																																																																																																																																																																																				
单选题	专业知识	2010版汇票的主景图案是（    ）。	易	2	梅花	兰花	菊花	竹子																																																																																																																																																																																																																																																				
单选题	专业知识	2010版本票的主景图案是（    ）。	易	3	梅花	兰花	菊花	竹子																																																																																																																																																																																																																																																				
单选题	专业知识	2010版现金支票的主景图案是（    ）。	易	1	梅花	兰花	菊花	竹子																																																																																																																																																																																																																																																				
单选题	专业知识	2010版转账支票的主景图案是（    ）。	易	4	梅花	兰花	菊花	竹																																																																																																																																																																																																																																																				
单选题	专业知识	关于2010版票据凭证新型荧光纤维的特点说法不正确的是（    ）。	难	1	采用了红、绿、蓝3种颜色的纤维丝	新型荧光纤维在白光下肉眼不可见	在紫外光下可见红、蓝两种荧光色彩	在红外侧光下可见纤维丝实物的凸起痕迹，形状都是部分圆形（半圆、三分之二圆、全圆等）																																																																																																																																																																																																																																																				
单选题	专业知识	2010版票据号码采用了渗透性油墨印刷的是（    ）。	中	2	上排号码	下排号码	第8位印制识别码	所有号码																																																																																																																																																																																																																																																				
单选题	专业知识	下面关于2010版票据号码第7位票据种类代码对应有误的是（    ）。	难	3	1-现金支票	2-转账支票	3-银行承兑汇票	4-银行汇票																																																																																																																																																																																																																																																				
单选题	专业知识	（    ）是银行结算账户的监督管理部门。	易	4	开户银行	工商管理局	证监会	中国人民银行																																																																																																																																																																																																																																																				
单选题	专业知识	合格境外机构投资者在境内从事证券投资开立的人民币特殊账户和人民币结算资金账户应纳入（   ）管理。	难	3	基本存款账户	一般存款账户	专用存款账户	特殊存款账户																																																																																																																																																																																																																																																				
单选题	专业知识	银行应对存款人的开户申请书填写的事项和证明文件的（   ）进行认真审查。	易	2	真实性、合规性、及时性	真实性、完整性、合规性	合规性、完整性、及时性	合规性、真实性、及时性																																																																																																																																																																																																																																																				
单选题	专业知识	临时存款账户的有效期最长不得超过（   ）。	易	3	6个月	1年	2年	3年																																																																																																																																																																																																																																																				
单选题	专业知识	注册验资的临时存款账户在验资期间（   ），注册验资资金的汇缴人应与（    ）的名称一致。	易	1	只收不付、出资人	正常收付、出资人	不收不付、投资人	只付不收、投资人																																																																																																																																																																																																																																																				
单选题	专业知识	存款人开立单位银行结算账户，自正式开立之日起（   ）后，方可办理付款业务。	易	1	3个工作日	5个工作日	3个自然日	5个自然日																																																																																																																																																																																																																																																				
单选题	专业知识	存款人更改名称，但不改变开户银行及账号的，应于（   ）个工作日内向开户银行提出银行结算账户的变更申请，并出具有关部门的证明文件。	易	3	2	3	5	6																																																																																																																																																																																																																																																				
单选题	专业知识	单位的法定代表人或主要负责人、住址以及其他开户资料发生变更时，应于（   ）个工作日内书面通知开户银行并提供有关证明。	易	3	2	3	5	6																																																																																																																																																																																																																																																				
单选题	专业知识	单位存款人因增资验资需要开立银行结算账户的，应持其基本存款账户开户许可证、股东会或董事会决议等证明文件，在银行开立一个（   ）存款账户。	易	4	基本	一般	专用	临时																																																																																																																																																																																																																																																				
单选题	专业知识	存款人为临时机构的，只能在其驻在地开立一个（   ）存款账户。	难	4	基本	一般	专用	临时																																																																																																																																																																																																																																																				
单选题	专业知识	存款人因注册验资或增资验资开立临时存款账户后，需要在临时存款账户有效期届满前退还资金的，应出具（    ）的证明；无法出具证明的，应于账户有效期届满后办理销户退款手续。	中	1	工商行政管理部门	律师事务所	出资人	股东会或董事会																																																																																																																																																																																																																																																				
单选题	专业知识	对于核准类银行结算账户，“正式开立之日”为（   ）。	中	4	营业网点受理日期	银行为存款人办理开户手续的日期	营业网点录入人民币银行结算账户管理系统的日期	中国人民银行当地分支行的核准日期																																																																																																																																																																																																																																																				
单选题	专业知识	存款人申请变更核准类银行结算账户的存款人名称、法定代表人或单位负责人的，银行应在接到变更申请后的（   ）个工作日内，将存款人的“变更银行结算账户申请书”、开户许可证以及有关证明文件报送中国人民银行当地分支行。	易	1	2	3	5	6																																																																																																																																																																																																																																																				
单选题	专业知识	银行在银行结算账户的使用中，有下列行为之一的（   ），给予警告，并处以5000元以上3万元以下的罚款；对该银行直接负责的高级管理人员、其他直接负责的主管人员、直接责任人员按规定给予纪律处分。	难	1	为储蓄账户办理转账结算	违反《人民币银行结算账户管理办法》的规定为存款人多头开立银行结算账户	明知或应知是单位资金，而允许以自然人名称开立账户存储	存款人出租、出借银行结算账户																																																																																																																																																																																																																																																				
单选题	专业知识	没有字号的个体工商户开立的银行结算账户，其预留签章中的公章或财务专用章为（   ）。	中	1	个体户字样加营业执照上载明的经营者的签名或盖章	营业执照上载明的经营者的盖章加个体户字样	营业执照上载明的经营者的盖章	营业执照上载明的经营者的签字																																																																																																																																																																																																																																																				
单选题	专业知识	当存款人在同一银行营业机构撤销银行结算账户后重新开立银行结算账户时，重新开立的银行结算账户可自（   ）起办理付款业务。	难	1	开立之日	3个工作日	4个工作日	5个工作日																																																																																																																																																																																																																																																				
单选题	专业知识	存款人申请开立财政预算外资金专用存款账户，应向银行出具其开立基本存款账户规定的证明文件、基本存款账户开户许可证，还应出具（   ）的证明。	难	2	工商部门	财政部门	税务部门	编制委员会																																																																																																																																																																																																																																																				
单选题	专业知识	一般存款账户不得办理（    ）业务。	易	3	借款转存	借款归还	现金支取	现金收入																																																																																																																																																																																																																																																				
单选题	专业知识	银行得知存款人被撤并、解散、宣告破产或关闭的和注销、被吊销营业执照的，存款人超过规定期限未主动办理撤销银行结算账户手续的，银行有权停止其银行结算账户的（    ）业务。	中	2	所有往来	对外支付	汇入汇款	现金收入																																																																																																																																																																																																																																																				
单选题	专业知识	一般存款账户是存款人因借款或其他结算需要，在（    ）开户银行以外的银行营业机构开立的银行结算账户。	易	1	基本存款账户	专用存款账户	临时存款账户	特殊存款账户																																																																																																																																																																																																																																																				
单选题	专业知识	按照《中华人民共和国工会法》成立的具有社会团体法人资格的工会组织，可以凭社团法人登记证书开立（    ）。	难	2	特殊存款账户	基本存款账户	专用存款账户	临时存款账户																																																																																																																																																																																																																																																				
单选题	专业知识	专用存款账户用于办理各项（    ）的收付。	中	4	差旅费	工资	货款	专用资金																																																																																																																																																																																																																																																				
单选题	专业知识	单位银行卡账户的资金必须由其（    ）转账存入。	易	3	一般存款账户	专用存款账户	基本存款账户	临时存款账户																																																																																																																																																																																																																																																				
单选题	专业知识	银行接到存款人的账户变更通知后，应及时办理变更手续，并于（    ）个工作日内向中国人民银行报告。	易	1	2	3	4	5																																																																																																																																																																																																																																																				
单选题	专业知识	存款人因迁址需要变更开户银行和其他原因需要撤销银行结算账户的，撤销基本存款账户后，需要重新开立基本存款账户的，应在撤销其原基本存款账户后（    ）内申请重新开立基本存款账户。	中	4	3	5	7	10																																																																																																																																																																																																																																																				
单选题	专业知识	对于按照《人民币银行结算账户管理办法》和《人民币银行结算账户管理办法实施细则》规定应撤销而未办理销户手续的单位银行结算账户，银行应通知该单位银行结算账户的存款人自发出通知之日起（    ）内办理销户手续，逾期视同自愿销户，未划转款项列入久悬未取专户管理。	中	2	15日	30日	45日	60日																																																																																																																																																																																																																																																				
单选题	专业知识	银行应通过账户管理系统向人民银行上海总部、当地分支行报备备案类银行结算账户，（    ）报送纸质资料。	易	3	定期	批量	无须	每日																																																																																																																																																																																																																																																				
单选题	专业知识	存款人遗失开户许可证，应在（    ）进行遗失公告，宣布该开户许可证作废。	难	4	公安机关登记	人民银行	公司内部	报刊媒体																																																																																																																																																																																																																																																				
单选题	专业知识	对于通过伪造变造开户证明文件开立的银行结算账户，开户银行应（    ）为该银行结算账户办理支付结算业务，并通知存款人立即撤销该银行结算账户。	中	1	立即停止	暂时停止	不停止	向上级报告后																																																																																																																																																																																																																																																				
单选题	专业知识	对于法定代表人或者单位负责人授权他人办理单位银行结算账户开立业务的，被授权人应是（    ）工作人员，银行应采取审核被授权人工作证件等措施予以核实。	中	2	开户银行	授权单位	中介公司	关联企业																																																																																																																																																																																																																																																				
单选题	专业知识	单位银行结算账户的存款人只能在银行开立一个（    ）存款账户。	易	1	基本	一般	专用	保证金																																																																																																																																																																																																																																																				
单选题	专业知识	符合开立一般存款账户、其他专用存款账户和个人银行结算账户条件的，银行应办理开户手续，并于开户之日起（    ）个工作日内向中国人民银行当地分支行备案。	中	3	3	4	5	6																																																																																																																																																																																																																																																				
单选题	专业知识	存款人申请开立粮、棉、油收购资金专用存款账户，应向银行出具基本存款账户规定的证明文件、基本存款账户开户许可证和（    ）。	难	4	收购协议	公司说明	财政部门的证明	主管部门批文																																																																																																																																																																																																																																																				
单选题	专业知识	外地常设机构申请开立基本存款账户，应向银行出具（    ）。	难	2	营业执照正本	其驻在地政府主管部门的批文	事业单位法人证书	批准证书																																																																																																																																																																																																																																																				
单选题	专业知识	对于异地企业法定代表人或其被授权人携带身份证件、营业执照、税务登记证等全部资料原件到营业机构柜台办理开户业务的，柜面人员应通知（    ）进行接洽，由客户部门按照“了解你的客户”原则，判断是否需要到企业注册地进行上门核实。	难	3	本网点负责人	本网点客户经理	上级管辖行客户部门	上级管辖行行长																																																																																																																																																																																																																																																				
单选题	专业知识	对于客户经理主动营销的异地企业客户开户业务，客户部门（    ）上门核实。	中	4	主管领导决定是否	视情况而定是否	无须	必须																																																																																																																																																																																																																																																				
单选题	专业知识	异地企业客户开户时，如客户确实无法提供法定代表人身份证原件等重要业务资料的，须由客户部门（    ）亲见法定代表人出具无法提供其身份证原件的情况说明书。	中	2	单人	双人	三人	单人或双人																																																																																																																																																																																																																																																				
单选题	专业知识	异地企业客户开户时，客户部门出具的核实报告须加盖（    ）。	难	1	一级支行行政公章	开户银行业务专用章	开户银行业务办讫章	一级支行客户部门业务章																																																																																																																																																																																																																																																				
