试题类型	知识范畴	题干	试题难度	正确答案	答案					
多选题	专业知识	关于现金清分下面说法正确的是（）	易	1234	现金清分应不少于两人在场，并在有效监控范围内进行。	现金清分过程中，细数未点清前不得将原捆(把)的封签、腰条丢毁，不得与其他票币调换或混淆。	现金清分应做到一笔一清、一包一清，发现差错应换人复核。	清分人员应着无袋工作服，其印章、名章等物品要妥善保管。		
多选题	专业知识	关于外包现金清分业务，下列说正确的是（）。	中	12	外包服务商应根据业务规模、风险程度，投保相应的保险，涵盖内、外部案件和差错损失	外包的现金清分业务，其现金清分区应独立设置，实行严格的物理隔离。	外包服务人员应限定工作活动区域，严禁进入金库交接区、配款区。	外包服务商应现场派驻专人进行业务监督指导，切实履行业务管理的职责。		
多选题	专业知识	下列说法正确的是（）	难	234	金库应急开锁装置应由金库主管行长、运营管理部门负责人及金库主任（副主任）当面封存，共同密封，分别签章	由金库主管行长保管，同时办理登记签收手续	应急开锁装置使用时，经金库主任（副主任）确认	会同管库员、安全保卫部门负责人，由金库主管行长及运营管理部门负责人共同开启		
多选题	专业知识	下面关于查库说法正确的是（）	易	1234	对于现金实物，应对币种、票面、券别、数量、金额与BoEing系统、VMS系统及相关登记簿进行核对。	成捆（卷）的要验证核对捆（卷）数；成把的要卡大把；零散的要清点核对零数。	长期封箱不动的应清点封箱数量，检查锁具、封签的完好性及封签记录的真实性。	对于柜员现金箱原则上只检查个数，不开箱检查。		
多选题	专业知识	 上级行对下级行金库进行检查时，必须出具（）	易	24	单位介绍信	金库检查通知书	工作证	身份证件		
判断题	专业知识	ＶＭＳ系统的用户，原则上应实行“专人专户”管理，允许“一岗多户”，相同岗位用户要明确分工。（）	易	1						
判断题	专业知识	金库调拨可以兼任现金管库岗、清分管理岗。（）	易	-1						
单选题	专业知识	关于VMS中各角色的岗位制约关系，下列说法错误的是（ ）。	易	2	系统管理员不得处理ＶＭＳ业务类交易，包括ＶＭＳ业务授权，不得办理BOEing系统交易及业务授权。	BOEing九级主管在进行业务授权的前提下，可兼任系统管理员。	金库主任、金库副主任、运营主管、内设单元经理、调拨、管库、清分不得处理BOEing账务。	内设单元经理不能同时授予ＶＭＳ业务授权权限和ＶＭＳ业务类交易操作权限。		
单选题	专业知识	VMS中关于综合职责权限说法错误的是（） 	中	4	可授予申请行ＶＭＳ端箱包操作权限	可授予网点清分录入、上缴人行款差错录入权限	可授予机具管理相关权限	可授予有号物品调拨相关权限		
单选题	专业知识	下列（）不属于金库主任的岗位职责	难	1	维护本行辖内需要纳入ＶＭＳ管理的有价单证、代理类重要空白凭证等物品的种类信息，供辖内行调拨使用。	负责VMS系统登录授权和对授权交易进行授权	负责职责内金库检查结果的确认	可授予箱包管理、清分管理模块非操作用户的人员及指纹维护权限		
单选题	专业知识	()不属于VMS中设置的非操作用户。	难	3	解款员	清分员	管库员	提解员		
单选题	专业知识	关于ＶＭＳ系统的用户注销说法错误的是	难	3	填制《中国农业银行金库业务管理系统用户信息登记申请表》	应将需要注销的用户置于“未启用”状态	需注销用户的员工信息保留满1年后	由一级分行系统管理员进行删除。		
单选题	专业知识	下列（）不属于VWS中的金库类型。	中	3	现金中心	分支库	单一库	服务型、保管型网点库		
单选题	专业知识	下列（）项不需要总行在VMS中进行设置。	中	2	金库检查类型	金库检查统计控制	金库检查问题项目	金库检查周期频次		
单选题	专业知识	《金库检查登记簿》及相关检查登记资料，管库员、检查人员共同签字确认后留存，保管期限为（）。	易	2	三年	五年	十五年	永久		
单选题	专业知识	关于VMS异常处理，下列说法错误的是（）。	难	3	VMS发生故障，指纹认证功能不能正常使用时，由总行运营管理部统一开启全行密码授权功能	VMS发生故障不能正常运行时，由总行运营管理部启用金库应急交易指令	故障期间，营业机构不得办理物资出入库业务	VMS发生故障不能正常运行时，由总行运营管理部启用金库应急交易指令，数据中心据以开启BoEing库房应急交易		
多选题	专业知识	VMS系统中，金库主任角色的岗位职责是（）。	易	14	解款员与金库管库员和网点交接人员指纹（在网点启用箱包指纹交接的情况下）确认箱包交接	解款员为本行人员担任	交接过程中，要有两个以上解款员同时在场	箱包流程中启用的解款员要在VMS箱包管理模块进行维护		
多选题	专业知识	关于VMS的指纹管理，下列说法正确的是（）。	难	124	系统管理员或金库有权人负责对系统操作用户和非操作用户的指纹采集。	系统操作用户应采用指纹识别方式进行系统登录	系统查询用户应采用指纹识别方式进行系统登录。	箱包、清分管理、其他交接和查库登记等业务需要验证指纹时，应采用指纹识别方式进行业务操作。		
多选题	专业知识	在VMS系统中有（）箱包交接方式	中	134	不交接	系统内外押运交接	三人交接	四人交接		
判断题	专业知识	业务办讫章用于加盖在上门服务凭证回单上。	易	-1						
判断题	专业知识	午休时，临柜业务印章要装箱妥善保管；非营业时间临柜业务印章必须入金库或保险箱（柜）保管。（）	易	1						
判断题	专业知识	停用的印章上缴日遇法定节假日，营业机构无法上缴或支行等上缴管辖部门无法接收的，应于法定节假日后第一个工作日内完成印章上缴工作。	难	-1		 				
判断题	专业知识	停用的临柜业务印章不得与重要空白凭证并库存放。	易	1						
判断题	专业知识	停用的临柜业务印章销毁时由运营管理部门和内控合规部门共同派人参加，核对无误后销毁，并在销毁清册上签章。	易	-1						
判断题	专业知识	印章销毁清册作为会计档案，保管期限为15年。	中	-1						
单选题	专业知识	以下（）不属于业务专用章签发	中	2	单位定期存款证实书	止付通知	个人存单	资信证明		
单选题	专业知识	（）根据本行实际情况可扩大业务专用章的使用范围，但不能将总行明确规定需要加盖业务专用章的业务加盖其他印章。	易	1	一级分行	二级分行	支行	营业网点		
单选题	专业知识	代理业务协议及委托书应加盖（）。	难	2	业务专用章	业务办讫章	受理凭证章	结算专用章		
单选题	专业知识	假币收缴单应加盖（）	易	2	业务专用章	业务办讫章	假币章	假币鉴定专用章		
单选题	专业知识	临柜业务印章上刻制的机构名称应与本级机构（        ）批准的机构名称保持一致。	难	1	金融机构许可证	营业执照	组织机构代码证	机构信用代码证		
单选题	专业知识	 因磨损而需重新刻制的临柜业务印章应使用（）。	难	3	新编序号	按现有同类印章顺序编号	原有的序号	以上都不对		
单选题	专业知识	临柜业务印章的保管和使用实行的原则不包括（）	中	1	专人领取	专人保管	专人使用	专人负责		
单选题	专业知识	新印章启用后，旧印章 (  )废止。	易	4	经分行审批后	经支行备案后	次日	同时		
单选题	专业知识	柜员离职或岗位变动，应登记相关登记簿，并经交接人双方及监交人签章确认，镶嵌的个人名章由（）保管。	易	4	网点负责人	运营主管	管辖行运营管理部	使用人		
单选题	专业知识	停用的印章应在停用（）办理印章停用手续，并在（）将停用印章上缴至营业机构集中保管。	难	2	当日、次日	当日、当日	次日、次日	次日、当日		
单选题	专业知识	支行等上级管辖部门对营业机构上缴的停用临柜业务印章应及时核对后封存入金库或保险箱（柜）保管，按(    )上缴二级分行（含）以上运营管理部门。	中	2	旬	月	季	年		
单选题	专业知识	二级分行应至少每（）开展一次对停用的临柜业务印章的清理和销毁工作	中	4	月	季	半年	年		
多选题	专业知识	风险可控原则是指印章的（）以风险控制为基本目标。	难	1234	刻制、分发	领用、保管	 使用、停用	上收、销毁		
多选题	专业知识	临柜业务印章管理实行（  ）的原则。	易	1234	内外有别	分级管理	风险可控	简明高效		
多选题	专业知识	总行统一设计的临柜业务印章包括（）	易	134	业务专用章	结算专用章	业务办讫章	受理凭证章		
多选题	专业知识	按照人民银行、外汇管理部门要求统一设计的临柜业务印章包括（  ）。	易	1234	汇票专用章	本票专用章	假币章	票据交换用章		
多选题	专业知识	业务办讫章用于加盖在以下（）上，表明业务已经处理完毕	中	123	假币收缴单	代理业务协议及委托书	账户管理协议	协议存款凭证		
多选题	专业知识	销毁临柜业务印章须经（）审批	中	13	分管行长	安全保卫部门负责人	运营管理部门负责人	内控合规部门负责任人		
判断题	专业知识	金融机构应按照客户的特点或者账户的属性，并考虑地域、业务、行业、客户是否为外国政要等因素，划分风险等级。	易	1						
判断题	专业知识	金融机构保存客户身份资料自业务关系结束次年或者一次性交易记账次年计起至少保存5 年。	易	-1						
单选题	专业知识	金融机构为不在本机构开立账户的客户提供现金汇款、现钞兑换、票据兑付等一次性金融服务且交易金额单笔人民币（）元以上或者外币等值（）美元以上的，应当识别客户身份， 并留存有效身份证件或者其他身份证明文件的复印件或者影印件。	易	2	1万元、500美元 	1万元、1000美元	5万元、1000美元	5万元、1万美元		
单选题	专业知识	金融机构为自然人客户办理人民币单笔（）以上或者外币等值（）美元以上现金存取业务的，应当核对客户的有效身份证件或者其他身份证明文件。	易	2	5万元、1000美元	5万元、1万美元	10万元、1000美元	10万元、1万美元		
单选题	专业知识	对本金融机构风险等级最高的客户或者账户，至少每（）进行一次审核。	中	3	月	季	半年	年		
单选题	专业知识	在以下（）情况下，金融机构不必重新识别客户。	难	1	客户要求变更住所地址、联系方式	客户要求变更注册资本	客户要求变更经营范围	客户要求变更法定代表人或者负责人		
单选题	专业知识	金融机构保存客户交易记录，自交易记账当年计起至少保存（） 年。	中	3	1	3	5	15		
多选题	专业知识	金融机构应当按照（）的原则，妥善保存客户身份资料和交易记录。	易	1234	安全	准确	完整	保密		
多选题	专业知识	接收境外汇入款的金融机构，发现（）信息中任何一项缺失的，应要求境外机构补充。	难	124	汇款人姓名或者名称	汇款人账号	汇款人联系方式	汇款人住所		
多选题	专业知识	对于高风险客户或者高风险账户持有人，金融机构应当了解其（）等信息，加强对其金融交易活动的监测分析。	中	1234	资金来源	资金用途	经济状况	经营状况		
多选题	专业知识	在按照《金融机构客户身份识别和客户身份资料及交易记录保存管理办法》的有关要求对被代理人采取客户身份识别措施时，应当核对代理人的有效身份证件或者身份证明文件，登记代理人的（） 。	易	1234	姓名或者名称	联系方式	身份证件	身份证明文件的种类、号码。		
多选题	专业知识	金融机构除核对有效身份证件或者其他身份证明文件外，可以采取以下（）措施，识别或者重新识别客户身份	中	1234	要求客户补充其他身份资料或者身份证明文件。	回访客户	实地查访	向公安、工商行政管理等部门核实		
多选题	专业知识	金融机构在履行客户身份识别义务时，以下()行为应当向中国反洗钱监测分析中心和中国人民银行当地分支机构报告 	难	123	客户拒绝提供有效身份证件或者其他身份证明文件的	客户无正当理由拒绝更新客户基本信息的	采取必要措施后，仍怀疑先前获得的客户身份资料的真实性、有效性、完整性的	对向境内汇入资金的境外机构提出要求后，仍无法完整获得汇款人联系方式及其他相关替代性信息的。		
单选题	专业知识	联网核查时，如OVIS系统内不存在该客户的身份证影像信息、客户身份证信息与OVIS系统保存的身份证影像信息不符或身份证信息发生变动等，应及时通过（）系统核查。	易	2	BoEing系统	人行核查系统	工商局企业注册查询系统	人行账户管理系统		
单选题	专业知识	身份证影像一经保存，不得随意删除。若因操作失误或影像质量等原因确需删除身份证影像信息的，应经换人复核后，（ ）删除。	难	3	运营主管	换人删除	保存柜员本人	二级主管		
单选题	专业知识	身份证影像信息及更改记录应保存（）	中	4	三年	五年	十五年	永久		
多选题	专业知识	联网核查身份证件种类包括（）。	中	23	户口簿	二代身份证	临时身份证	护照		
多选题	专业知识	联网核查时，若客户身份证信息与OVIS系统保存的身份证影像信息不符，但客户身份证满足（）条件，应重新保存该客户的身份证影像信息。	难	234	身份证为一代身份证，且通过初审。	身份证为二代身份证，且通过初审。	身份证信息通过二代身份证阅读器鉴别	人行核查系统返回核查结果一致且有照片，照片与客户身份证照片一致的。		
多选题	专业知识	若人行核查系统返回核查结果不一致且无法确切判断客户身份证真伪的，可要求客户出示（）辅助验证	易	1234	居民户口簿	机动车驾驶证	社会保障卡	居住证		
多选题	专业知识	联网核查前，应对客户出示的身份证和客户本人进行初审。初审内容包括（）。	中	1234	身份证所记载信息是否清晰、完整	证件是否在有效期内	身份证性别是否与客户本人一致	身份证照片是否与客户本人头像一致		
判断题	专业知识	客户联系方式信息维护（新建参与人联系地址）交易客户身份验证方式为只出示不核查	中	1	 	 	 	 		
判断题	专业知识	修改个人客户（个人客户信息维护）交易客户身份验证方式为出示核查不留存	中	-1						
判断题	专业知识	基金TA账户签约管理（新建客户TA登记服务合约）交易客户身份验证方式为出示核查并留存	中	-1						
单选题	专业知识	国债兑付交易（提前兑付电子国债）交易客户身份验证方式（）	中	1	出示、核查	出示核查并留存	出示、不核查 	出示核查不留存		
单选题	专业知识	国债开销户管理（电子国债开户）交易客户身份验证方式（）	中	3	出示、核查	出示核查并留存	出示、不核查 	出示核查不留存		
单选题	专业知识	基金定投管理（新建基金定投计划(对私)）交易客户身份验证方式（）	难	3	出示、核查	出示核查并留存	出示、不核查 	出示核查不留存		
单选题	专业知识	基金赎回（赎回基金(对公)）交易客户身份验证方式（）	难	2	出示、核查	出示核查并留存	出示、不核查 	出示核查不留存		
单选题	专业知识	银行本票签发（现金签发）交易客户身份验证方式（）	易	2	出示、核查	出示核查不留存	出示、不核查 	出示核查并留存		
单选题	专业知识	理财签约管理（理财解约(对私)）交易客户身份验证方式（）	中	4	出示、核查	只核查不留存	出示核查并留存	只出示不核查		
单选题	专业知识	修改重要客户资料交易客户身份验证方式（）	中	1	出示核查并留存	出示核查不留存	出示、核查	只出示不核查不留存		
单选题	专业知识	对未在我行开立账户自然人客户办理现钞兑换单笔外币等值（）美元（含）以上客户身份验证方式为出示核查并留存	易	2	500	1000	5000	10000		
单选题	专业知识	对在我行开立账户自然人客户办理西联发汇申请业务客户身份验证方式为（）	中	2	出示、核查	只出示不核查	不出示、不核查	出示核查并留存		
单选题	专业知识	修改18位身份证校验位交易客户身份验证方式（）	中	4	出示、核查	出示核查不留存	出示、不核查 	出示核查并留存		
单选题	专业知识	账户信息维护（注册验资户结转）交易客户身份验证方式（）	中	1	只出示不核查	出示并核查	出示、核查并留存	出示、核查不留存		
多选题	专业知识	银行汇票挂失/法院止付交易客户身份验证方式（）	难	123	出示	核查	留存	不留存		
多选题	专业知识	国债凭证管理（挂失换发凭证国债凭证）交易客户身份验证方式（）	中	124	出示	核查	留存	不留存		
判断题	专业知识	对个人客户身份证件信息留存可使用公安部指定的二代身份证阅读器读取客户身份证信息合成电子影像替代纸质身份证复印件。	易	1						
单选题	专业知识	对个人客户身份证件信息留存可使用（）替代纸质联网核查结果打印记录。	难	3	身份证复印件	身份证影像	联网核查记录电子明细表	联网核查凭证		
判断题	专业知识	临柜业务手工登记簿因漏记使记载栏出现空缺的，应在记载栏用兰字注明“空格”字样。（）	易	-1						
判断题	专业知识	临柜业务手工登记簿记载错误无法更改的，不得撕毁。经运营主管审核同意后换页记载，在原账页上划交叉红线注销，由经办人员及运营主管签章确认。（）	中	1						
判断题	专业知识	临柜业务手工登记薄可以采用电子介质的形式进行保管。（）	中	-1						
判断题	专业知识	除国家有关部门以外的其他单位和个人不得查阅和复制临柜业务手工登记薄，确需查询的，须经营业机构上级机构负责人书面审核同意。（）	中	1						
单选题	专业知识	临柜业务手工登记薄的设立，实行集中管理 归口审批的要求，必须经（）审批后方可设置。	中	3	总行业务主管部门   	省行业务主管部门 	总行运营管理部  	省行运营管理部		
单选题	专业知识	临柜业务手工登记簿记载错误的，应进行更改处理。将错误记载事项用红线划销，正确文字写在划销文字的上方，由（）在右端加盖私人名章证明。	易	1	经办人员	 运营主管   	经办人员及运营主管	网点负责人		
多选题	专业知识	临柜业务手工登记簿应根据业务种类，分别按照（）设立.	难	124	机构	业务事项	保管人	使用人		
多选题	专业知识	 临柜业务手工登记簿应严格按照（）要求进行登记、使用，确保登记内容规范、完整。	中	134	格式	管理	内容	使用		
多选题	专业知识	（）等国家有关部门或单位在执行公务时，可凭有关证明材料，查询和复制临柜业务手工登记簿相关内容。	易	1234	人民银行	银监会	审计署	司法机关		
单选题	专业知识	关于使用《协助查询、冻结、扣划登记簿》说法错误的是（）	中	4	记载符合国家有关法律、法规规定的协助查询、冻结、解冻、扣划等有关事项。	按营业机构设置，运营主管或指定专人登记、保管。	可以跨年度使用。	“解冻”登记有权机关主动执行的解冻及冻结到期执行的解冻。		
单选题	专业知识	关于使用《业务印章、钥匙等物品及密码保管使用登记簿》说法正确的是（）	难	2	本登记簿按营业机构设置，由运营主管或指定专人登记、保管。	本登记簿可跨年度使用，整簿全部登满后启用新登记簿。	涉及岗位变动和短期离岗交接时登记此簿 。	保管年限为5年。		
单选题	专业知识	根据《中国农业银行临柜业务手工登记簿整合通知》下列登记薄中，不属于营业机构临柜业务手工登记薄的有(  )。	中	3	《运营主管工作日志》	《查库登记簿》	《会计档案登记簿》	《箱、包交接登记簿》		
单选题	专业知识	下列保管期限为15年的临柜业务手工登记簿（）	易	2	《柜面业务交接登记簿》	《柜面重要事项登记簿》	《箱、包交接登记簿》	《运营主管工作日志》		
单选题	专业知识	关于使用《查库登记簿》说法错误的是（）	中	4	手工登记栏中的检查项目登记现金、有价单证、重要空白凭证种类、假币、印章等物品，按实物数量登记	通过系统执行查库操作的，检查人员在清点交易凭证上签章，登记交易传票号，可替代手工登记。	通过系统打印的现金、有价单证、重要空白凭证等登记薄、报表粘贴在“查库凭据粘贴区”专栏，并由检查人员在凭据上签章，可替代手工登记	《查库登记簿》保管期限为15年		
单选题	专业知识	关于《柜面业务交接登记薄》的使用说明说法错误的是（） 	易	3	本登记簿记载柜面人员短期交接，以及相关资料在部门之间传递时的交接情况。	本登记簿按营业机构设置，运营主管或指定专人保管。	交接事项需在交接内容栏做详细记载，由运营主管填写	通过柜员现金内调、重要凭证内调交易办理的现金和重要凭证交接的，不在本登记簿中登记。		
单选题	专业知识	（）检查情况不在《查库登记簿》记载 。	难	2	自助设备加、取钞核查情况	库房业务和安全检查	有价单证	重要空白凭证		
多选题	专业知识	关于使用《箱包交接登记簿》说法正确的是（）	易	124	本登记簿记载柜员现金、凭证、传票箱（包）、信件等的交接情况。	、本登记簿按营业机构设置，运营主管或指定专人保管。	登记箱（包）个数均填写阿拉伯数字。	社会化押运的，可使用约定的登记簿代替此登记簿。		
多选题	专业知识	《柜面业务重要事项登记薄》记载的业务种类为（）	难	123	票据挂失	同城交换票据退还客户	开户许可证（正本）交付客户	出售转账支票交付客户		
判断题	专业知识	营业机构运营主管负责监督指导柜员远程集中授权业务操作。	易	1						
判断题	专业知识	远程授权业务的真实性由授权中心的授权员负责。	易	-1						
判断题	专业知识	对于远程授权业务，经办柜员应利用远程集中授权系统截屏功能获取部分交易结果，减少纸质打印和拍摄。	中	1			 			
判断题	专业知识	20万以下的外币现金收付，应一次性拍摄现金实物影像后申请授权。（）	难	-1						
判断题	专业知识	以预留印鉴作为账户支控方式的大额资金划转类业务，授权员应重点审核换人验印操作的合规性。	中	1		 				
判断题	专业知识	对于大额资金划转类业务，授权员应对经办柜员核查客户身份的合规性进行审核.	难	-1						
单选题	专业知识	在远程集中授权完成后，（）对客户签字等后续业务处理的真实性负责。	难	3	营业机构运营主管	授权员	经办柜员	复核柜员		
单选题	专业知识	远程集中授权业务的业务合规性、资料完整性以及要素录入的准确性由（    ）负主要责任。	中	2	营业机构运营主管	授权员	经办柜员	复核柜员		
单选题	专业知识	授权过程中，发现系统录入内容与凭证要素不一致或电子影像资料传输不完整时，以下做法错误的是（　　）。	难	2	对于业务不合规或录入要素错误的授权业务，授权员应予以拒绝，并清晰注明拒绝理由。	经办柜员和授权主管均不做任何处理，等待系统超时自动取消。	柜员发现系统录入错误的，应说明原因，主动撤销授权申请。	对于电子影像资料传输不完整的授权业务，授权员应要求经办柜员补充业务所需资料。		
单选题	专业知识	柜员提交一笔金额25万元的“20304存单现金销户”交易申请远程授权，授权员审核发现客户影像与身份证件中照片信息存在较大差异，正确的处理方法是（　）。	难	4	说明理由拒绝授权	授权主管不做任何处理，等待系统超时自动取消。	无需考虑客户影像与照片的差异直接授权	授权员应先向经办柜员或运营主管询问客户实际情况，待其再次确认客户身份无误后再进行后续处理。		
单选题	专业知识	对于人民币现金收付类业务，实行限额分类处理，现金限额为（）万元。	易	3	5	10	20	30		
单选题	专业知识	对于人民币20万以上大面额或票面种类过多等无法一次性拍摄实物影像的现金业务，申请授权时错误的做法是（）	中	1	必须上传现金实物影像	现场换人清点现金实物	换人核对无误后通过指纹认证方式确认	以上均不正确		
单选题	专业知识	对于抹账业务，申请远程授权时无需拍摄的影像有（　　　）。	难	3	经运营主管审批的抹账业务凭证。	原错误的记账凭证、原始凭证	客户证件、客户影像以及现场主管的指纹认证信息	涉及自动销号类重要空白凭证的，还要拍摄作废重要空白凭证。		
多选题	专业知识	远程集中授权中，经办柜员要核对业务的真实性，按照相关业务制度对客户提交的（　　）真伪进行严格审核。	易	1234	身份证件	现金实物	银行介质	结算凭证		
多选题	专业知识	远程集中授权中，经办柜员采集和传输相关电子影像资料应做到（）	中	234	标准	及时	完整	清晰		
多选题	专业知识	远程集中授权，授权员对所授权业务依据的 (  )负责。	中	234	真实性	完整性	合规性	要素录入的准确性		
多选题	专业知识	经办柜员在拍摄业务凭证影像时，（　　　）以保证业务的准确性和完整性。	易	23	为压缩凭证拍摄时间，无论凭证反面有无需审核内容，只需拍摄凭证的正面。	凭证应摆放端正。	拍摄包括该笔业务所有需审核要素的凭证正反面	仅拍摄凭证的反面		
多选题	专业知识	授权员要严格依据审核标准对交易画面和电子影像资料进行审核，应审核（  ）。	中	123	画面与影像资料的一致性	业务的合规性	资料完整性	业务的真实性		
多选题	专业知识	对于被拒绝的授权业务，经办柜员应（　）。	易	124	根据拒绝理由认真查找差错，修改无误后重新提交授权申请。	严禁无视拒绝理由，反复提交已存在差错的授权申请。	对于录入错误的授权业务，柜员直接更改凭证要素后申请授权。	严禁经办柜员无视拒绝理由，反复提交已存在差错的授权申请。		
多选题	专业知识	以下（）业务，远程授权时不需要上传实物影像。	难	23	存入人民币20万元的大面额现金业务	贵金属	外币现金收付	人民币现金取款10万元		
多选题	专业知识	对于冲正业务的远程授权申请说法正确的是（）	易	123	经办柜员需拍摄原错帐凭证（或OCR影像打印件）	经运营主管审批的冲正业务的记账凭证	补正业务应使用冲正业务的关联交易提交授权申请。	以上均不正确		
多选题	专业知识	授权中心应建立业务运行监督机制，重点从（）方面加强中心监督管理。	中	34	授权业务量比率	授权业务差错率	业务效率	质量		
多选题	专业知识	授权中心应对（）业务进行重点核查，加强中心的监督管理。	中	1234	抹账、冲正	冻结、解冻和扣划	挂失后续处理、密码挂失与重置	对BoEing系统中大额资金类授权业务进行重点核查		
多选题	专业知识	以下（）指标是衡量营业机构远程授权业务处理质量指标	难	13	授权业务平均拍摄时间	授权业务的处理效率	授权业务成功率	业务抽查差错比率		
多选题	专业知识	授权中心应建立沟通机制定期听取辖内营业机构对中心工作的意见建议。主要内容包括（）	难	1234	业务处理	运行质量	服务支持	日常管理		
单选题	专业知识	BOS普通授权多应用于（）。	易	1	受理网点	经办机构	作业中心	管理机构		
单选题	专业知识	BOS提供普通授权、（）两种方式	中	2	转授权	流转授权	远程授权	现场授权		
单选题	专业知识	集中作业中心设置四类人员，其中专业指导人员（）	难	2	负责业务要素切片录入	负责业务合规性审核、作业质量管理、指导网点业务并组织实施。	负责风险性业务的处理控制、重要业务要素的再次输入。	负责生产现场管理、任务调控、业务授权和考核评价。		
单选题	专业知识	下列关于集中作业中心岗位制约说法错误的是（）	难	2	生产管理人员可以兼任业务授权人员	业务授权人员可以兼任专业指导人员	业务授权人员不得兼任标准操作员	切片录入人员不得兼任何其他工作。		
单选题	专业知识	关于网点发起集中作业平台业务，下列说法正确的是 (  )	中	2	受理人员在上传业务凭证时和原始凭证时，应先加盖业务办讫章。	作业中心完成业务操作并向网点返回记账成功的消息提示后，由业务受理人员在受理记录凭证和原始凭证上加盖办讫章。	业务上传中心，尚未处理完毕前，可根据客户要求打印受理回执并加盖业务办讫章。	业务受理人员实时或日终批量打印受理记录凭证，其后可不附于原始凭证，单独整理排序。		
单选题	专业知识	BOS系统中“任务回退”说法不正确的是 (  )	中	1	任务回退应退回下一处理人或业务发起人。	退回发起方应认真甄别业务，确认为上一环节或受理网点错误，选择正确退回理由退回。	退回任务接收方应认真检查退回任务，修改并重新发起业务，或做撤销处理。	作业中心和网点生产管理人员应重点监测退回业务的处理情况，避免业务滞留。		
单选题	专业知识	对于BOS中心受理截止后，相关业务处理说法不正确的是 (  )。	难	1	中心受理截止后，受理网点不可继续上传业务。	上传业务，作业中心当日不再处理，由系统自动挂起、次日释放。	涉及跨行支付、实时处理的业务，中心受理截止后不再允许网点上传。	特殊情况需要紧急处理，可通过后续业务申请，经作业中心同意后手工释放、当日处理。		
单选题	专业知识	集中作业平台受理网点生产管理员日终检查监督不包括 (  )。	难	3	重点抽查人工验印、复验情况、收费情况	重点抽查冲销及撤销业务的资金处理情况。	应履行相关业务审核审批职责、及时检查网点发起、中心转入网点业务处理情况.	核查受理记录凭证数量与日终业务报告表核对是否相符		
单选题	专业知识	BOS纸质档案正确的装订顺序为（     ）。	中	2	BOEing会计凭证、BOS受理记录凭证、BOS日终业务报告表	BOEing会计凭证、BOS日终业务报告表、BOS受理记录凭证	BOS日终业务报告表、BOS受理记录凭证、BOEing会计凭证	BOS受理记录凭证、BOS日终业务报告表、BOEing会计凭证		
多选题	专业知识	BOS设置的应用机构类型（）	易	234	一级分行	管理机构	作业中心	受理网点		
多选题	专业知识	根据《中国农业银行集中作业平台应用管理办法》，作业中心对业务的（）负责。	中	123	正确性 	准确性	及时性	真实性		
多选题	专业知识	集中作业平台受理网点主要负责（）	中	134	受理业务	扫描上传凭证影像	触发BOEing账务	处理结果反馈客户	答案错误	
多选题	专业知识	以下()业务属于集中作业平台的专业类业务	中	134	中心端发的起查询查复	 支票转账	 对公账户开销户	中心端发起的汇入汇款		
多选题	专业知识	"集中作业平台管理机构设置三类人员,包括（）。"	易	234	生产管理员	用户管理员	信息管理员	系统管理员		
多选题	专业知识	BOS系统中网点受理人员负责的任务是 (  )。	中	1234	负责受理客户业务。	审核业务及凭证真实性、合规性。	扫描凭证、录入简单要素并验印。	符合内控要求前提下，可赋予授权权限。		
多选题	专业知识	BOS受理网点的生产管理人员负责受理网点（），重点控制业务真实性、合规性风险。	难	134	生产现场管理	业务受理	任务调控	业务复授权		
多选题	专业知识	BOS受理网点业务流程包括受理审核、扫描录入、以及 (  )。	中	1234	支控方式校验	业务授权	凭证打印	回单处理		
多选题	专业知识	根据《中国农业银行集中作业平台应用管理办法》，下列关于任务撤销说法正确的是（）。	中	1234	对于流程未终结或记账失败的任务，可以由网点发起任务撤销。	须由受理网点运营主管审核同意签字（章）后，由业务受理人员发起，经授权后办理。	撤销发起人应在原受理记录凭证上批注任务撤销的受理记录号及撤销原因。	撤销完成后，可重新发起业务流程。		
多选题	专业知识	关于BOS机构签退说法正确的是（）	难	123	作业中心、受理网点的机构签退均需双人操作。	本机构最后一名签退的用户经授权后方可办理机构签退，其中受理网点签退后应联机打印日终业务报告表。	受理网点办理机构签退前，应认真检查待处理任务，确保除挂起任务外当日本网点发起、收到的业务已全部处理完毕。	遇特殊情况，受理网点、作业中心确需重新签到机构，可向二级分行运营管理部申请行部重开。		
多选题	专业知识	BOS的电子档案包括作业中心和受理网点扫描形成的（）	难	123	凭证影像	业务资料影像	BOS生成的电子数据	受理网点生成的电子数据		
多选题	专业知识	BOS的纸质档案包括在受理网点产生的 (  )。	易	1234	日终业务报告表	受理记录凭证	原始凭证	其他业务资料		
单选题	专业知识	导致一级分行辖内两个（含）以上二级分行所有集中作业平台营业机构无法办理业务，且短时无法恢复的突发事件，属于（  ）。	难	2	特大事件	重大事件	较大事件	一般事件		
单选题	专业知识	集中作业平台突发较大事件由事发地（）领导小组负责决策	难	3	总行	一级分行	二级分行	支行		
单选题	专业知识	集中作业平台应急业务登记簿可参照采用中国农业银行营业机构临柜业务手工登记簿中的《》。	易	4	运营主管工作日志	柜面业务登记簿	箱（包）交接登记簿	《柜面重要事项登记簿》		
多选题	专业知识	集中作业平台在高效、稳妥地处置突发事件的同时，还应遵循（）、分级处置原则。	易	1234	账户安全	业务连续	风险可控	数据完整		
